pairid,A-word,B-word,Jones2002,Jones2012,Paradis2009Elicit,Paradis2009Judge,deWeijer2012,LowFreq,Canonical,CorePair,WordNet,Ant-Type,Morpological,POS
1,active,passive,y,n,n,n,y,n,n,y,y,scalar-bounded,n,adj
2,advantage,disadvantage,y,n,n,n,n,n,n,y,y,complementary,y,noun
3,agree,disagree,y,n,n,n,n,n,n,y,y,complementary,y,verb
4,beautiful,ugly,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj
5,begin,end,y,n,n,n,n,n,n,y,y,reversive,n,verb
6,big,small,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj
7,black,white,n,n,y,n,n,n,n,y,y,complementary,n,adj
8,boom,recession,y,n,n,n,n,n,n,y,n,complementary,n,noun
9,boring,exciting,n,n,y,n,y,y,n,y,n,scalar-unbounded,n,adj
10,bright,dim,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj
11,bright,dull,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj
12,broad,narrow,n,y,y,n,n,n,n,y,n,scalar-unbounded,n,adj
13,clean,dirty,n,n,y,n,y,n,n,y,y,scalar-bounded,n,adj
14,clever,stupid,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj
15,confirm,deny,y,n,n,n,n,n,n,y,n,complementary,n,verb
16,correct,incorrect,y,n,n,n,n,n,n,y,y,complementary,y,adj
17,covered,bare,n,n,y,n,n,n,n,y,y,complementary,n,adj
18,dark,bright,n,y,y,n,n,n,n,y,n,scalar-unbounded,n,adj
19,dead,alive,y,n,n,n,y,n,n,y,y,complementary,n,adj
20,defend,attack,y,n,n,n,n,n,n,y,y,converse,n,verb
21,directly,indirectly,y,n,n,n,n,n,n,y,y,complementary,y,adv
22,drunk,sober,y,n,y,n,n,n,n,y,n,scalar-bounded,n,adj
23,easy,difficult,y,n,n,n,y,n,n,y,y,scalar-unbounded,n,adj
24,easy,hard,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
25,encourage,discourage,y,n,n,n,n,n,n,y,y,reversive,y,verb
26,explicitly,implicitly,y,n,n,n,n,n,n,y,y,complementary,n,adv
27,fact,fiction,y,n,n,n,n,n,n,y,n,complementary,n,noun
28,fast,slow,y,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj
29,fat,thin,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj
30,fat,skinny,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj
31,feeble,strong,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
32,filthy,clean,n,n,y,n,n,n,n,y,n,scalar-bounded,n,adj
33,friendly,hostile,n,n,n,n,y,y,n,y,y,scalar-unbounded,n,adj
34,gay,straight,y,n,n,n,n,n,n,y,n,complementary,n,adj
35,general,late,n,n,n,n,y,n,u,y,n,none,n,adj
37,good,evil,n,n,y,y,n,n,n,y,y,scalar-unbounded,n,adj
38,good,bad,y,n,y,y,y,n,y,y,y,scalar-unbounded,n,adj
39,guilt,innocence,y,n,n,n,n,n,n,y,y,complementary,n,noun
