idx,cxn,cxntype,pairid,word1,word2,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,w1/nospace,w2/nospace,w1/caps,w2/caps,,nospace:,w1XprobY,w1XtopY,w1XtopYprob,w2XprobY,w2XtopY,w2XtopYprob,caps:,w1XprobY,w1XtopY,w1XtopYprob,w2XprobY,w2XtopY,w2XtopYprob,,nospace/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,,caps/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,,space/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY
0,alike,j-coordinated,1,active,passive,0.8283,passive,0.8283,inactive,retired,reactive,dormant,0.6462,active,0.6462,inactive,retired,reactive,dormant,1,1,1,1,,,0.7211,passive,0.7211,0.8249,active,0.8249,,0.7536,passive,0.7536,0.8621,active,0.8621,,,0.7211,passive,0.7211,inactive,retired,dormant,reactive,0.8249,active,0.8249,inactive,retired,dormant,reactive,,,0.7536,passive,0.7536,retired,inactive,lazy,old,0.8621,active,0.8621,retired,inactive,lazy,old,,,0.0001,women,0.0943,old,foe,children,girls,0,women,0.0913,old,foe,children,girls
1,alike,j-coordinated,2,advantage,disadvantage,0.7772,disadvantage,0.7772,threat,weakness,liability,cost,0.3787,advantage,0.3787,threat,weakness,liability,cost,1,1,1,1,,,0.8073,disadvantage,0.8073,0.4838,advantage,0.4838,,0.5726,disadvantage,0.5726,0.5553,advantage,0.5553,,,0.8073,disadvantage,0.8073,drawback,threat,risk,liability,0.4838,advantage,0.4838,drawback,threat,risk,liability,,,0.5726,disadvantage,0.5726,opportunity,liability,threat,drawback,0.5553,advantage,0.5553,opportunity,liability,threat,drawback,,,0,women,0.0889,old,foe,children,girls,0,women,0.0866,old,foe,children,girls
2,alike,j-coordinated,3,agree,disagree,0.9046,disagree,0.9046,not,oppose,differ,argue,0.6397,agree,0.6397,not,oppose,differ,argue,1,1,1,1,,,0.4117,disagree,0.4117,0.3329,agree,0.3329,,0.8757,disagree,0.8757,0.2977,agree,0.2977,,,0.4117,disagree,0.4117,think,argue,oppose,feel,0.3329,agree,0.3329,think,argue,oppose,feel,,,0.8757,disagree,0.8757,disapprove,argue,dissent,agree,0.2977,agree,0.2977,disapprove,argue,dissent,agree,,,0,women,0.1342,old,men,children,girls,0,women,0.1054,old,men,children,girls
3,alike,j-coordinated,4,beautiful,ugly,0.141,ugly,0.141,beautiful,terrifying,hideous,tragic,0.2833,beautiful,0.2833,beautiful,terrifying,hideous,tragic,0,1,0,1,,,0.017,beautiful,0.055,0.2036,beautiful,0.2036,,0.0506,beautiful,0.0772,0.2182,beautiful,0.2182,,,0.017,beautiful,0.055,terrifying,tragic,scary,dangerous,0.2036,beautiful,0.2036,terrifying,tragic,scary,dangerous,,,0.0506,beautiful,0.0772,flawed,ugly,tragic,terrifying,0.2182,beautiful,0.2182,flawed,ugly,tragic,terrifying,,,0.0003,women,0.1391,old,children,men,girls,0.0001,women,0.118,old,children,men,girls
4,alike,j-coordinated,5,begin,end,0.8538,end,0.8538,finish,ends,ending,continue,0.0077,beginning,0.7923,finish,ends,ending,continue,0,1,0,1,,,0.0071,women,0.0374,0.058,beginning,0.1975,,0.0382,expert,0.1221,0.0157,beginning,0.7545,,,0.0071,women,0.0374,beginners,beginner,experts,professionals,0.058,beginning,0.1975,beginners,beginner,experts,professionals,,,0.0382,expert,0.1221,advanced,veteran,experts,experienced,0.0157,beginning,0.7545,advanced,veteran,experts,experienced,,,0.0002,women,0.2044,men,girls,people,children,0,women,0.08,men,girls,people,children
5,alike,j-coordinated,6,big,small,0.9123,small,0.9123,little,tiny,medium,smaller,0.2257,large,0.693,little,tiny,medium,smaller,1,1,1,1,,,0.8575,small,0.8575,0.3218,large,0.3891,,0.8465,small,0.8465,0.3281,large,0.343,,,0.8575,small,0.8575,little,tiny,big,smaller,0.3218,large,0.3891,little,tiny,big,smaller,,,0.8465,small,0.8465,little,tiny,bold,big,0.3281,large,0.343,little,tiny,bold,big,,,0.0051,women,0.0979,old,children,foe,girls,0.0002,women,0.1509,old,children,foe,girls
6,alike,j-coordinated,7,black,white,0.9445,white,0.9445,brown,whites,Latino,Hispanic,0.7981,black,0.7981,brown,whites,Latino,Hispanic,1,1,1,1,,,0.899,white,0.899,0.7429,black,0.7429,,0.8693,white,0.8693,0.6364,black,0.6364,,,0.899,white,0.899,whites,brown,yellow,foreigner,0.7429,black,0.7429,whites,brown,yellow,foreigner,,,0.8693,white,0.8693,White,brown,whites,Caucasian,0.6364,black,0.6364,White,brown,whites,Caucasian,,,0.0018,women,0.1055,old,children,foe,girls,0.0005,women,0.0953,old,children,foe,girls
7,alike,j-coordinated,8,boom,recession,0.0005,bust,0.9819,bubble,crisis,decline,boom,0.0401,recovery,0.1003,bubble,crisis,decline,boom,1,1,1,1,,,0.0009,bust,0.6648,0.0191,recovery,0.111,,0.0001,awe,0.0449,0.031,recovery,0.1612,,,0.0009,bust,0.6648,fall,gloom,burn,bear,0.0191,recovery,0.111,fall,gloom,burn,bear,,,0.0001,awe,0.0449,bust,Bust,scream,pop,0.031,recovery,0.1612,bust,Bust,scream,pop,,,0,women,0.0775,old,foe,children,girls,0,women,0.0765,old,foe,children,girls
8,alike,j-coordinated,9,boring,exciting,0.0243,interesting,0.0306,exciting,beautiful,dangerous,entertaining,0.0263,terrifying,0.0718,exciting,beautiful,dangerous,entertaining,1,1,1,1,,,0.0288,boring,0.0483,0.0038,scary,0.1516,,0.0222,fascinating,0.0301,0.002,terrifying,0.1824,,,0.0288,boring,0.0483,inspiring,exciting,fascinating,interesting,0.0038,scary,0.1516,inspiring,exciting,fascinating,interesting,,,0.0222,fascinating,0.0301,interesting,boring,exciting,inspiring,0.002,terrifying,0.1824,interesting,boring,exciting,inspiring,,,0,women,0.1198,old,foe,children,girls,0,women,0.1421,old,foe,children,girls
9,alike,j-coordinated,10,bright,dim,0.0343,dark,0.2641,dim,dull,small,gloomy,0.2624,bright,0.2624,dim,dull,small,gloomy,0,0,1,0,,,0.0995,dim,0.0995,0.011,mighty,0.0519,,0.0535,dark,0.0787,0.0385,bold,0.0446,,,0.0995,dim,0.0995,dumb,stupid,dull,dark,0.011,mighty,0.0519,dumb,stupid,dull,dark,,,0.0535,dark,0.0787,dim,dull,wise,small,0.0385,bold,0.0446,dim,dull,wise,small,,,0,women,0.2025,men,girls,children,boys,0.0001,women,0.1129,men,girls,children,boys
