idx,cxn,cxntype,pairid,word1,word2,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w1YprobX,w1YtopX,w1YtopXprob,w1Y2ndX,w1Y3rdX,w1Y4thX,w1Y5thX,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,w2YprobX,w2YtopX,w2YtopXprob,w2Y2ndX,w2Y3rdX,w2Y4thX,w2Y5thX
0,alike,j-coordinated,1,active,passive,0.8283,passive,0.8283,inactive,retired,reactive,dormant,0.7938,passive,0.7938,inactive,retired,reactive,dormant,0.6462,active,0.6462,inactive,retired,reactive,dormant,0.8653,active,0.8653,inactive,retired,reactive,dormant
1,whether,j-coordinated,1,active,passive,0.0444,not,0.3686,inactive,dormant,passive,retired,0.5691,passive,0.5691,inactive,dormant,passive,retired,0.7264,active,0.7264,inactive,dormant,passive,retired,0.7176,active,0.7176,inactive,dormant,passive,retired
2,either,j-coordinated,1,active,passive,0.055,inactive,0.6389,dormant,passive,not,active,0.2544,inactive,0.2839,dormant,passive,not,active,0.7956,active,0.7956,dormant,passive,not,active,0.8644,active,0.8644,dormant,passive,not,active
3,neither,j-coordinated,1,active,passive,0.122,inactive,0.2453,passive,retired,active,dormant,0.4462,passive,0.4462,passive,retired,active,dormant,0.7101,active,0.7101,passive,retired,active,dormant,0.6336,active,0.6336,passive,retired,active,dormant
4,both,j-coordinated,1,active,passive,0.6726,passive,0.6726,inactive,dormant,retired,not,0.8932,passive,0.8932,inactive,dormant,retired,not,0.6324,active,0.6324,inactive,dormant,retired,not,0.7991,active,0.7991,inactive,dormant,retired,not
5,aswellas,j-coordinated,1,active,passive,0.0636,retired,0.3134,passive,inactive,retiring,the,0.2724,passive,0.2724,passive,inactive,retiring,the,0.5445,active,0.5445,passive,inactive,retiring,the,0.6688,active,0.6688,passive,inactive,retiring,the
6,or,j-coordinated,1,active,passive,0.0353,inactive,0.3246,dormant,retired,not,passive,0.0184,retired,0.1422,dormant,retired,not,passive,0.7314,active,0.7314,dormant,retired,not,passive,0.8217,active,0.8217,dormant,retired,not,passive
7,and,j-coordinated,1,active,passive,0.0223,inactive,0.1141,active,.,retired,dormant,0.0001,young,0.1689,active,.,retired,dormant,0.2975,active,0.2975,active,.,retired,dormant,0.7017,active,0.7017,active,.,retired,dormant
8,XnotY,j-negated,1,active,passive,0.0,available,0.1469,found,active,detected,listed,0.0,is,0.1807,found,active,detected,listed,0.0927,active,0.0927,found,active,detected,listed,0.0001,but,0.5335,found,active,detected,listed
9,XcommanotY,j-negated,1,active,passive,0.0006,active,0.4598,available,visible,detected,yet,0.0041,inactive,0.1974,available,visible,detected,yet,0.2081,active,0.2081,available,visible,detected,yet,0.3086,active,0.3086,available,visible,detected,yet
10,notXbutY,j-negated,1,active,passive,0.0009,active,0.0688,close,interested,...,available,0.0007,",",0.057,close,interested,...,available,0.3647,active,0.3647,close,interested,...,available,0.2397,aggressive,0.3503,close,interested,...,available
11,notXcommaY,j-negated,1,active,passive,0.0001,yet,0.0443,or,2016,but,2015,0.0,available,0.1123,or,2016,but,2015,0.0516,but,0.1351,or,2016,but,2015,0.1368,active,0.1368,or,2016,but,2015
12,XandnotY,j-negated,1,active,passive,0.001,active,0.292,.,available,detected,inactive,0.0027,inactive,0.078,.,available,detected,inactive,0.1757,active,0.1757,.,available,detected,inactive,0.2894,active,0.2894,.,available,detected,inactive
13,insteadof,j-negated,1,active,passive,0.169,passive,0.169,inactive,active,dormant,silent,0.1692,passive,0.1692,inactive,active,dormant,silent,0.6774,active,0.6774,inactive,active,dormant,silent,0.6763,active,0.6763,inactive,active,dormant,silent
14,opposedto,j-negated,1,active,passive,0.1235,passive,0.1235,the,</s>,voting,active,0.7409,passive,0.7409,the,</s>,voting,active,0.7482,active,0.7482,the,</s>,voting,active,0.7528,active,0.7528,the,</s>,voting,active
15,XbutnotY,restrictive,1,active,passive,0.0002,active,0.0547,participating,visible,engaged,online,0.0003,registered,0.1139,participating,visible,engaged,online,0.0367,passive,0.083,participating,visible,engaged,online,0.0092,passive,0.1613,participating,visible,engaged,online
16,notXbutnotY,negatedX2,1,active,passive,0.0011,inactive,0.1066,visible,forgotten,interested,dead,0.002,inactive,0.0974,visible,forgotten,interested,dead,0.2557,aggressive,0.3493,visible,forgotten,interested,dead,0.1462,aggressive,0.5778,visible,forgotten,interested,dead
17,notonlyXbutY,additive,1,active,passive,0.0002,also,0.0511,active,successful,effective,influential,0.0011,awake,0.0497,active,successful,effective,influential,0.0724,active,0.0724,active,successful,effective,influential,0.0417,active,0.0417,active,successful,effective,influential
18,notXbutjustY,restrictive,1,active,passive,0.0056,watching,0.0446,curious,browsing,listening,there,0.0055,active,0.0217,curious,browsing,listening,there,0.0175,passive,0.2084,curious,browsing,listening,there,0.0822,aggressive,0.1895,curious,browsing,listening,there
19,morethan,j-comparative,1,active,passive,0.0008,ever,0.1477,average,others,before,the,0.281,passive,0.281,average,others,before,the,0.2418,active,0.2418,average,others,before,the,0.4793,active,0.4793,average,others,before,the
20,ratherthan,j-comparative,1,active,passive,0.9228,passive,0.9228,reactive,static,inactive,lazy,0.7367,passive,0.7367,reactive,static,inactive,lazy,0.6785,active,0.6785,reactive,static,inactive,lazy,0.4186,active,0.4186,reactive,static,inactive,lazy
21,between,j-distinguished,1,active,passive,0.2738,inactive,0.411,passive,dormant,silent,active,0.2044,passive,0.2044,passive,dormant,silent,active,0.8301,active,0.8301,passive,dormant,silent,active,0.8722,active,0.8722,passive,dormant,silent,active
22,fromto,j-transitional,1,active,passive,0.023,inactive,0.6208,dormant,active,passive,silent,0.0948,inactive,0.4235,dormant,active,passive,silent,0.4865,active,0.4865,dormant,active,passive,silent,0.668,active,0.668,dormant,active,passive,silent
