Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
abnormal,normal,y,both,0.71,,0.78,,n,adj,antonym,scalar
aboard,off,n,alikeX,0.8,,,,,,opposition-indirect,
abolition,slavery,n,alikeY,,,0.54,,,,other-related,
above,below,y,both,0.93,paired,0.57,paired,n,adj/adv,antonym,complementary
abroad,home,n,alikeX,0.53,,,,,noun,antonym-secondary,complementary
absence,presence,y,alikeY,,,0.91,,n,noun,antonym,complementary
absent,present,y,alikeY,,,0.78,,n,adj,antonym,complementary
absolute,relative,y,both,0.81,,0.7,paired,n,adj,antonym,complementary
abundance,scarcity,y,alikeX,0.75,,,,n,noun,antonym,scalar
abuser,victim,n,both,0.69,,0.58,,n,noun,antonym,converse
abusers,victims,n,alikeX,0.69,,,,,noun,antonym-secondary,complementary
academia,industry,n,alikeX,0.53,,,,,,co-hyponym,
accepted,rejected,n,alikeX,0.69,,,,n,verb,antonym,converse
accepts,rejects,n,alikeX,0.6,,,,,verb,antonym,scalar
accidental,intentional,n,alikeY,,,0.53,paired,n,adj,antonym,complementary
accompanied,alone,n,alikeY,,,0.76,,n,adj,antonym-secondary,complementary
acoustic,electric,n,both,0.69,,0.82,,,,co-hyponym,
acquaintances,friends,n,alikeY,,,0.66,,n,noun,nym-near-synonym,
acquainted,strangers,n,both,0.53,,0.56,,,noun,antonym-secondary,
acquisition,merger,n,alikeY,,,0.64,,,,co-hyponym,
acquitted,convicted,n,alikeX,0.65,,,,n,verb,antonym,converse
actions,words,n,alikeY,,,0.62,,n,noun,antonym,complementary
active,passive,y,both,0.83,paired,0.79,paired,n,adj,antonym,scalar
actively,passively,y,both,0.94,paired,0.85,paired,n,adv,antonym,scalar
actress,actor,n,alikeY,,,0.8,,n,noun,antonym,complementary
actresses,actors,n,alikeY,,,0.94,,n,noun,antonym,complementary
acute,chronic,y,alikeX,0.6,paired,,,n,adj,antonym,complementary
adjective,noun,n,both,0.81,paired,0.86,paired,n,noun,co-hyponym,
admit,deny,y,alikeX,0.53,,,,n,verb,antonym,complementary
admits,denies,n,alikeX,0.56,,,,n,verb,antonym,complementary
admitting,denying,n,alikeX,0.62,,,,n,verb,antonym,complementary
adolescence,adulthood,n,alikeX,0.58,,,,,,co-hyponym,
adolescence,childhood,n,alikeY,,,0.78,,n,noun,co-hyponym,multiple incompatibility
adolescent,adult,n,both,0.74,,0.66,,n,noun,antonym,multiple incompatibility
adolescents,adults,n,alikeX,0.66,,,,,,co-hyponym,
adopt,foster,n,alikeX,0.61,,,,,,co-hyponym,
adult,child,n,both,0.77,paired,0.73,,n,noun,antonym,multiple incompatibility
adulthood,childhood,n,alikeY,,,0.57,,,noun,antonym,complementary
adults,children,n,both,0.67,paired,0.56,paired,n,noun,antonym,multiple incompatibility
advancing,retreating,n,alikeX,0.68,,,,n,verb,antonym,converse
advantage,disadvantage,y,alikeX,0.78,,,,n,noun,antonym,complementary
