Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
able,willing,n,betweenY,,,0.68,,n,adj,co-hyponym,
abnormal,normal,y,both,0.88,,0.94,,n,adj,antonym,scalar
above,below,y,betweenX,0.87,paired,,,n,adj/adv,antonym,complementary
absence,presence,y,betweenY,,,0.58,,n,noun,antonym,complementary
absent,absent,n,betweenX,0.62,paired,,,y,,x-identical,
absolute,relative,y,both,0.84,paired,0.84,paired,n,adj,antonym,complementary
abundance,scarcity,y,both,0.63,,0.69,,n,noun,antonym,scalar
abuser,victim,n,both,0.62,,0.51,,n,noun,antonym,converse
abusers,victims,n,betweenX,0.65,,,,n,noun,antonym-secondary,complementary
accepted,rejected,n,betweenX,0.63,,,,n,verb,antonym,converse
accidental,intentional,n,betweenX,0.5,paired,,,n,adj,antonym,complementary
accrued,payable,n,betweenX,0.55,,,,n,,co-hyponym,
acquaintances,friends,n,betweenY,,,0.86,,n,noun,nym-near-synonym,
actress,actor,n,betweenY,,,0.67,,n,noun,antonym,complementary
actresses,actors,n,betweenY,,,0.78,,n,noun,antonym,complementary
acute,chronic,y,betweenX,0.77,paired,,,n,adj,antonym,complementary
address,name,n,betweenY,,,0.58,,n,,co-hyponym,
addresses,names,n,betweenY,,,0.54,,n,,other-related,
adjective,noun,n,both,0.76,,0.84,paired,n,noun,co-hyponym,
administrator,user,n,betweenY,,,0.61,,n,,co-hyponym,
admission,graduation,n,betweenX,0.5,,,,n,,co-hyponym,
adolescence,adulthood,n,betweenX,0.65,,,,n,,co-hyponym,
adolescence,childhood,n,betweenY,,,0.82,,n,noun,co-hyponym,multiple incompatibility
adolescents,adults,n,betweenX,0.5,,,,n,,co-hyponym,
adolescents,children,n,betweenY,,,0.59,,n,,co-hyponym,
adoption,birth,n,betweenY,,,0.83,,n,,other-related,
adult,child,n,betweenX,0.67,,,,n,noun,antonym,multiple incompatibility
adults,children,n,both,0.67,,0.59,,n,noun,antonym,multiple incompatibility
advantage,disadvantage,y,betweenX,0.86,,,,n,noun,antonym,complementary
advantages,disadvantages,n,betweenX,0.86,,,,n,noun,antonym,complementary
