Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
abbrevi,abbrevi,n,eitherX,0.6,paired,,,y,partial token,x-identical,
abduct,kill,n,eitherX,0.52,,,,n,,co-hyponym,
able,unwilling,n,eitherX,0.63,,,,n,adj,opposition-indirect,
able,willing,n,eitherY,,,0.73,,n,adj,co-hyponym,
abnormal,normal,y,eitherY,,,0.89,,n,adj,antonym,scalar
above,below,y,eitherX,0.91,paired,,,n,adj/adv,antonym,complementary
absolute,relative,y,both,0.98,paired,0.97,,n,adj,antonym,complementary
abundance,scarcity,y,both,0.83,,0.84,,n,noun,antonym,scalar
abuse,neglect,n,eitherX,0.6,,,,n,,other-related,
abuser,victim,n,both,0.52,,0.56,,n,noun,antonym,converse
accepted,rejected,n,eitherX,0.69,,,,n,verb,antonym,converse
accepts,rejects,n,eitherX,0.54,,,,n,verb,antonym,scalar
accidental,intentional,n,eitherY,,,0.62,paired,n,adj,antonym,complementary
accidentally,intentionally,n,eitherY,,,0.63,paired,n,adv,antonym,complementary
accompanied,alone,n,both,0.51,,0.65,,n,adj,antonym-secondary,complementary
accountant,lawyer,n,eitherY,,,0.52,,n,,co-hyponym,
acquitted,convicted,n,eitherY,,,0.51,,n,verb,antonym,converse
action,inaction,y,eitherX,0.58,,,,n,noun,antonym,complementary
active,inactive,y,eitherX,0.64,,,,n,adj,antonym,scalar
actively,passively,y,both,0.6,paired,0.87,paired,n,adv,antonym,scalar
actress,actor,n,eitherY,,,0.6,,n,noun,antonym,complementary
actresses,actors,n,both,0.62,,0.96,,n,noun,antonym,complementary
acute,chronic,y,both,0.9,paired,0.89,paired,n,adj,antonym,complementary
adapted,original,n,eitherY,,,0.67,,n,adj,antonym,complementary
adapters,batteries,n,eitherY,,,0.53,,n,,co-hyponym,
added,removed,n,eitherX,0.54,,,,n,verb,antonym,reversive
addresses,names,n,eitherY,,,0.53,,n,,co-hyponym,
adds,removes,n,eitherY,,,0.6,,n,verb,antonym,reversive
adjective,noun,n,both,0.83,paired,0.94,paired,n,noun,co-hyponym,
administrator,user,n,eitherY,,,0.54,,n,,co-hyponym,
admired,disliked,n,eitherX,0.7,,,,n,verb,antonym-secondary,scalar
admit,deny,y,both,0.87,,0.57,,n,verb,antonym,complementary
admits,denies,n,both,0.91,,0.5,,n,verb,antonym,complementary
admitting,denying,n,both,0.83,,0.61,,n,verb,antonym,complementary
adolescence,childhood,n,eitherY,,,0.85,,n,noun,co-hyponym,multiple incompatibility
adolescent,adult,n,eitherX,0.58,,,,n,noun,antonym,multiple incompatibility
adolescents,children,n,eitherY,,,0.6,,n,,co-hyponym,
adopted,natural,n,eitherY,,,0.56,,n,adj,antonym-secondary,complementary
adoptive,biological,y,eitherY,,,0.68,,n,adj,antonym,complementary
adult,child,n,eitherY,,,0.53,paired,n,noun,antonym,multiple incompatibility
adults,children,n,eitherY,,,0.59,,n,noun,antonym,multiple incompatibility
advanced,basic,n,eitherY,,,0.56,,n,,co-hyponym,
advancing,retreating,n,eitherX,0.73,,,,n,verb,antonym,converse
advant,disadvantage,n,eitherX,0.91,,,,n,partial token,x-none,
advantage,disadvantage,y,both,0.92,,0.78,paired,n,noun,antonym,complementary
advantageous,unfavorable,n,eitherX,0.5,,,,n,,opposition-indirect,
advantages,disadvantages,n,both,0.95,,0.67,paired,n,noun,antonym,complementary
adversely,positively,n,eitherY,,,0.65,,n,adv,antonym-secondary,scalar
aerobic,aerobic,n,eitherY,,,0.53,paired,y,,x-identical,
affair,marriage,n,eitherY,,,0.54,,n,,other-related,
affirmative,negative,y,both,0.91,,0.91,,n,adj,antonym,complementary
affluent,poor,n,both,0.56,,0.67,,n,adj/noun,antonym-secondary,scalar
afore,after,n,eitherX,0.76,,,,n,adj/adv,antonym-temporal,converse
aft,fore,y,eitherY,,,0.98,paired,n,adj,antonym,complementary
after,before,n,both,0.79,paired,0.94,,n,adj/adv,antonym-temporal,complementary
afternoon,evening,n,eitherX,0.67,,,,n,,co-hyponym-temporal,
afternoon,morning,n,eitherY,,,0.96,,n,noun,co-hyponym-temporal,
afterward,before,n,both,0.58,,0.85,,n,adv,antonym-temporal,complementary
afterwards,before,n,both,0.63,,0.83,,n,adv,antonym-temporal,complementary
again,once,n,eitherY,,,0.68,,n,,other-conventional,
against,for,n,eitherY,,,0.97,,n,adv,antonym,complementary
age,sex,n,eitherY,,,0.52,,n,,co-hyponym,
aggressive,passive,n,eitherY,,,0.52,,n,adj,antonym,scalar
agree,disagree,y,both,0.91,paired,0.8,paired,n,verb,antonym,complementary
