Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
able,willing,n,both,0.77,paired,0.85,paired,n,adj,co-hyponym,
abnorm,normal,n,neitherY,,,0.59,,,partial token,x-none,
abnormal,normal,y,both,0.7,paired,0.86,,n,adj,antonym,scalar
above,below,y,both,0.96,paired,0.91,paired,n,adj/adv,antonym,complementary
abroad,here,n,neitherY,,,0.65,,,,co-hyponym,
absence,presence,y,both,0.75,paired,0.96,,n,noun,antonym,complementary
absent,present,y,both,0.51,,0.67,,n,adj,antonym,complementary
abundance,scarcity,y,both,0.7,paired,0.62,paired,n,noun,antonym,scalar
abuser,victim,n,both,0.93,,0.82,,n,noun,antonym,converse
abusers,victims,n,both,0.82,,0.67,,,noun,antonym-secondary,complementary
accept,deny,n,neitherX,0.52,,,,,verb,antonym-secondary,complementary
acceptance,rejection,y,neitherX,0.6,,,,n,noun,antonym,converse
accidental,intentional,n,both,0.63,,0.53,,n,adj,antonym,complementary
accidentally,intentionally,n,both,0.56,,0.59,,n,adv,antonym,complementary
accountability,transparency,n,neitherY,,,0.54,,,,other-related,
acids,bases,n,neitherX,0.59,,,,,,co-hyponym,
acknowled,deny,n,neitherX,0.5,,,,,partial token,x-none,
acknowledges,denies,n,neitherX,0.52,,,,,verb,antonym-secondary,complementary
acquaintances,friends,n,neitherY,,,0.73,,n,noun,nym-near-synonym,
acquisition,merger,n,neitherY,,,0.68,,,,co-hyponym,
acquitted,convicted,n,neitherX,0.89,,,,n,verb,antonym,converse
action,inaction,y,neitherX,0.51,,,,n,noun,antonym,complementary
actively,passively,y,both,0.54,paired,0.59,paired,n,adv,antonym,scalar
actress,actor,n,neitherY,,,0.69,,n,noun,antonym,complementary
actresses,actors,n,both,0.51,,0.91,,n,noun,antonym,complementary
acute,chronic,y,both,0.82,paired,0.7,paired,n,adj,antonym,complementary
add,subtract,y,neitherX,0.61,paired,,,,verb,antonym,complementary
added,removed,n,neitherX,0.55,,,,,verb,antonym,reversive
address,name,n,neitherY,,,0.55,,,,co-hyponym,
adjective,noun,n,both,0.73,,0.8,,n,noun,co-hyponym,
admit,deny,y,both,0.92,,0.67,,n,verb,antonym,complementary
admits,denies,n,both,0.98,,0.94,,n,verb,antonym,complementary
admitted,denied,n,both,0.97,,0.69,,n,verb,antonym,complementary
admitting,denying,n,both,0.98,,0.86,,n,verb,antonym,complementary
adolescence,childhood,n,neitherY,,,0.65,,n,noun,co-hyponym,multiple incompatibility
adolescents,children,n,neitherY,,,0.55,,,,co-hyponym,
adopted,born,n,neitherY,,,0.52,,,,other-related,
adoptive,foster,n,neitherX,0.59,,,,,,co-hyponym,
adult,child,n,both,0.51,paired,0.78,,n,noun,antonym,multiple incompatibility
adulthood,childhood,n,neitherY,,,0.57,,,noun,antonym,complementary
adults,children,n,both,0.57,,0.68,,n,noun,antonym,multiple incompatibility
advancing,retreating,n,neitherX,0.77,,,,n,verb,antonym,converse
advant,disadvantage,n,neitherX,0.83,,,,,partial token,x-none,
advantage,disadvantage,y,neitherX,0.79,paired,,,n,noun,antonym,complementary
advantages,disadvantages,n,neitherX,0.91,paired,,,n,noun,antonym,complementary
adversaries,friends,n,neitherY,,,0.52,,,noun,antonym-secondary,complementary
adversary,friend,n,neitherY,,,0.74,,n,noun,antonym,complementary
adversely,positively,n,both,0.61,,0.73,,n,adv,antonym-secondary,scalar
aerial,terrestrial,n,both,0.52,,0.73,,n,adj,co-hyponym,complementary
afar,near,n,both,0.87,,0.81,,,adv,antonym-secondary,scalar
affiliated,sponsored,n,both,0.53,,0.77,,,,co-hyponym,
affirm,deny,n,both,0.9,,0.61,,,verb,antonym-secondary,complementary
affirmation,denial,n,neitherX,0.58,,,,,noun,antonym-secondary,complementary
affirmative,negative,y,both,0.96,,0.74,,n,adj,antonym,complementary
affirmed,denied,n,neitherX,0.57,,,,,verb,antonym-secondary,complementary
affluent,poor,n,neitherY,,,0.62,,n,adj/noun,antonym-secondary,scalar
aft,fore,y,neitherY,,,0.97,,n,adj,antonym,complementary
after,before,n,both,0.89,,0.98,,n,adj/adv,antonym-temporal,complementary
afternoon,evening,n,neitherX,0.51,,,,,,co-hyponym-temporal,
afternoon,morning,n,neitherY,,,0.98,,n,noun,co-hyponym,
afterward,before,n,neitherY,,,0.84,,n,adv,antonym-temporal,complementary
afterwards,before,n,neitherY,,,0.53,,n,adv,antonym-temporal,complementary
against,for,n,both,0.73,paired,0.93,paired,n,adv,antonym,complementary
agility,speed,n,neitherY,,,0.57,,n,noun,co-hyponym,
ago,now,n,both,0.55,,0.64,,,,co-hyponym-temporal,
agree,disagree,y,both,0.81,paired,0.55,paired,n,verb,antonym,complementary
ahead,behind,n,neitherX,0.95,paired,,,n,adv,antonym,complementary
aided,hindered,n,neitherX,0.54,,,,,verb,antonym-secondary,scalar
air,water,n,both,0.56,,0.56,,,,co-hyponym,
alien,human,n,neitherY,,,0.6,,,,co-hyponym,
alike,different,n,both,0.53,,0.74,,n,adj,antonym,complementary
alive,dead,y,both,0.96,paired,0.98,paired,n,adj,antonym,complementary
allege,deny,n,neitherX,0.7,,,,,verb,antonym-secondary,complementary
alleges,denies,n,neitherX,0.55,,,,,verb,antonym-secondary,complementary
alleging,denying,n,neitherX,0.68,,,,,verb,antonym-secondary,complementary
alot,much,n,neitherY,,,0.51,,,,nym-near-synonym,
alpha,beta,n,both,0.6,,0.79,paired,n,adj,co-hyponym,
aluminum,steel,n,neitherY,,,0.51,,n,noun,co-hyponym,
