Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
able,unwilling,n,questionX,0.67,,,,n,adj,opposition-indirect,
abnormal,normal,y,both,0.64,,0.86,,n,adj,antonym,scalar
above,below,y,questionX,0.94,paired,,,n,adj/adv,antonym,complementary
abrupt,gradual,n,questionY,,,0.58,,n,adj,antonym,scalar
absence,presence,y,questionY,,,0.7,,n,noun,antonym,complementary
absent,present,y,questionY,,,0.56,,n,adj,antonym,complementary
absolute,relative,y,both,0.95,,0.81,,n,adj,antonym,complementary
abundance,scarcity,y,questionY,,,0.71,,n,noun,antonym,scalar
accepted,rejected,n,questionX,0.55,,,,n,verb,antonym,converse
accessible,not,n,questionX,0.58,,,,n,not-annotated,proform,
accidental,intentional,n,questionY,,,0.6,paired,n,adj,antonym,complementary
accidentally,intentionally,n,questionY,,,0.53,paired,n,adv,antonym,complementary
accompanied,alone,n,questionY,,,0.69,,n,adj,antonym-secondary,complementary
acquaintance,friend,n,questionY,,,0.51,,n,,nym-near-synonym,
acquaintances,friends,n,questionY,,,0.57,,n,noun,nym-near-synonym,
action,inaction,y,questionX,0.63,,,,n,noun,antonym,complementary
active,passive,y,questionY,,,0.7,paired,n,adj,antonym,scalar
actively,passively,y,both,0.83,paired,0.83,,n,adv,antonym,scalar
actresses,actors,n,both,0.7,,0.94,,n,noun,antonym,complementary
acute,chronic,y,both,0.9,paired,0.88,paired,n,adj,antonym,complementary
adjective,noun,n,both,0.76,paired,0.88,paired,n,noun,co-hyponym,
admit,deny,y,both,0.76,,0.51,,n,verb,antonym,complementary
admitted,denied,n,questionX,0.56,,,,n,verb,antonym,complementary
admitting,denying,n,questionX,0.62,,,,n,verb,antonym,complementary
adolescence,childhood,n,questionY,,,0.63,,n,noun,co-hyponym,multiple incompatibility
adolescent,adult,n,questionX,0.57,,,,n,noun,antonym,multiple incompatibility
adopted,natural,n,questionY,,,0.54,,n,adj,antonym-secondary,complementary
adult,child,n,questionY,,,0.61,,n,noun,antonym,multiple incompatibility
adulthood,childhood,n,questionY,,,0.52,,n,,antonym,complementary
adults,children,n,both,0.58,,0.62,,n,noun,antonym,multiple incompatibility
advancing,retreating,n,questionX,0.56,,,,n,verb,antonym,converse
advantage,disadvantage,y,questionX,0.89,,,,n,noun,antonym,complementary
advantages,disadvantages,n,questionX,0.93,,,,n,noun,antonym,complementary
adversary,friend,n,questionY,,,0.54,,n,noun,antonym,complementary
adversely,positively,n,both,0.68,,0.86,,n,adv,antonym-secondary,scalar
affirmative,negative,y,both,0.81,,0.82,,n,adj,antonym,complementary
affluent,poor,n,both,0.59,,0.74,,n,adj/noun,antonym-secondary,scalar
afore,after,n,questionX,0.79,,,,n,adj/adv,antonym-temporal,converse
aft,fore,y,questionY,,,0.95,,n,adj,antonym,complementary
after,before,n,both,0.87,paired,0.87,,n,adj/adv,antonym-temporal,complementary
afternoon,evening,n,questionX,0.5,,,,n,,co-hyponym-temporal,
afternoon,morning,n,questionY,,,0.84,,n,noun,co-hyponym-temporal,
afterward,before,n,both,0.74,,0.86,,n,adv,antonym-temporal,complementary
afterwards,before,n,both,0.75,,0.76,,n,adv,antonym-temporal,complementary
against,for,n,both,0.64,paired,0.97,,n,adv,antonym,complementary
agility,speed,n,questionY,,,0.58,,n,noun,co-hyponym,
agree,disagree,y,both,0.9,paired,0.71,paired,n,verb,antonym,complementary
agrees,disagrees,n,questionX,0.68,,,,n,verb,antonym,complementary
ahead,behind,n,questionX,0.88,,,,n,adv,antonym,complementary
air,water,n,questionY,,,0.52,,n,,co-hyponym,
alcoholic,not,n,questionX,0.59,,,,n,not-annotated,proform,
alike,different,n,questionX,0.71,,,,n,adj,antonym,complementary
alive,dead,y,both,0.98,paired,0.98,paired,n,adj,antonym,complementary
all,none,n,questionX,0.68,,,,n,,antonym,
alley,street,n,questionY,,,0.51,,n,noun,co-hyponym,
ally,foe,n,questionX,0.62,,,,n,noun,antonym,complementary
alpha,beta,n,both,0.8,paired,0.84,paired,n,adj,co-hyponym,
aluminum,steel,n,questionY,,,0.59,,n,noun,co-hyponym,
amateur,professional,y,both,0.77,,0.71,,n,noun,antonym,complementary
analog,digital,n,both,0.91,,0.77,,n,adj,antonym,complementary
analogue,digital,y,both,0.78,,0.76,,n,adj,antonym,complementary
ancient,modern,n,both,0.55,,0.5,,n,adj,antonym,complementary
and,and,n,questionY,,,0.54,paired,y,,x-identical,
angels,demons,n,questionX,0.59,paired,,,n,,co-hyponym,
animal,human,n,questionY,,,0.63,,n,noun,nym-hyponym,conceptual contrast
annual,monthly,n,questionY,,,0.5,,n,,co-hyponym-temporal,
annually,monthly,n,both,0.56,,0.67,,n,adv,co-hyponym-temporal,
anonymously,publicly,n,questionY,,,0.53,,n,adv,antonym,complementary
another,one,n,questionY,,,0.88,,n,other/det,co-hyponym-numeric,
answer,question,y,questionY,,,0.7,,n,noun/verb,antonym,complementary
answered,asked,n,questionY,,,0.5,,n,verb,antonym,complementary
answering,asking,n,questionY,,,0.56,,n,verb,antonym,complementary
answers,questions,n,questionY,,,0.79,,n,noun,antonym,complementary
anterior,posterior,y,both,0.94,paired,0.78,paired,n,adj,antonym,complementary
anti,pro,y,both,0.61,,0.96,,n,adj,antonym,complementary
anus,vagina,n,questionX,0.53,,,,n,,co-hyponym,
anxiety,depression,n,questionX,0.65,,,,n,noun,co-hyponym,
any,all,n,questionX,0.53,,,,n,,antonym-secondary,complementary
apart,together,n,questionY,,,0.85,,n,adv,antonym,complementary
apartment,house,n,questionY,,,0.63,,n,noun,co-hyponym,
apartments,houses,n,questionY,,,0.61,,n,noun,co-hyponym,
apologised,not,n,questionX,0.51,,,,n,,proform,
appears,disappears,n,questionX,0.5,,,,n,,antonym,complementary
apple,pear,n,questionX,0.52,,,,n,,co-hyponym,
apples,oranges,n,questionX,0.56,,,,n,,co-hyponym,
apply,not,n,questionX,0.56,,,,n,not-annotated,proform,
appointed,elected,n,both,0.54,,0.82,,n,adj/verb,antonym,complementary
aquatic,terrestrial,n,both,0.89,,0.86,,n,adj,co-hyponym,multiple incompatibility
archaic,modern,n,questionY,,,0.53,,n,adj,antonym-secondary,complementary
arenas,stadiums,n,both,0.55,,0.52,,n,,co-hyponym,
armed,unarmed,y,both,0.61,paired,0.51,paired,n,adj,antonym,complementary
arms,legs,n,both,0.72,,0.57,paired,n,,co-hyponym,
arrival,departure,n,both,0.71,,0.52,,n,noun,antonym,reversive
arrivals,departures,n,both,0.86,,0.83,,n,noun,antonym,reversive
arteries,veins,n,both,0.57,,0.69,,n,noun,antonym,complementary
article,book,n,questionY,,,0.58,,n,,co-hyponym,
articles,books,n,questionY,,,0.63,,n,noun,co-hyponym,
artificial,natural,y,both,0.51,,0.8,,n,adj,antonym,complementary
artificially,naturally,y,questionY,,,0.81,,n,adv,antonym,complementary
ascending,descending,y,both,0.96,paired,0.66,paired,n,adj/verb,antonym,complementary
ascent,descent,y,both,0.84,,0.52,,n,noun,antonym,complementary
asleep,awake,y,both,0.73,paired,0.68,paired,n,adj,antonym,complementary
asset,liability,y,both,0.78,,0.52,,n,noun,antonym,complementary
assets,liabilities,n,questionX,0.72,,,,n,noun,antonym,complementary
assists,goals,n,questionY,,,0.63,,n,noun,co-hyponym,complementary
asteroid,comet,n,both,0.84,paired,0.61,,n,noun,co-hyponym,
atop,below,n,questionX,0.59,,,,n,adv,antonym-secondary,complementary
attacker,victim,n,both,0.65,,0.6,,n,noun,antonym,complementary
attic,basement,n,both,0.54,paired,0.5,,n,noun,antonym,complementary
audio,video,n,questionX,0.66,,,,n,adj,co-hyponym,
auditory,visual,n,both,0.55,,0.64,,n,adj,co-hyponym,
augmented,real,n,questionY,,,0.65,,n,adj,antonym,scalar
automatic,manual,y,both,0.75,,0.84,,n,adj,antonym,scalar
automatically,manually,n,both,0.52,,0.52,,n,,antonym-secondary,scalar
autumn,winter,n,questionX,0.56,,,,n,noun,co-hyponym,multiple incompatibility
autumn,summer,n,questionY,,,0.53,,n,noun,co-hyponym,multiple incompatibility
avenue,street,n,questionY,,,0.58,,n,noun,co-hyponym,
awake,asleep,y,both,0.7,paired,0.67,paired,n,adj,antonym,complementary
backward,forward,y,both,0.77,,0.85,,n,adj/adv,antonym,complementary
backwards,forwards,n,both,0.82,paired,0.7,paired,n,adj/adv,antonym,complementary
bacterial,viral,n,both,0.58,,0.57,,n,adj,co-hyponym,
bad,good,y,both,0.63,paired,0.95,paired,n,adj,antonym,scalar
balances,checks,n,questionY,,,0.96,,n,noun,other-conventional,
barley,wheat,n,both,0.71,paired,0.89,paired,n,noun,co-hyponym,
barren,fertile,n,questionY,,,0.79,,n,adj,antonym,complementary
basement,attic,n,questionX,0.6,paired,,,n,,antonym,
bath,shower,n,both,0.56,,0.6,,n,,co-hyponym,
baths,showers,n,both,0.56,,0.68,,n,noun,co-hyponym,
batter,pitcher,n,questionY,,,0.64,,n,noun,antonym,complementary
batters,pitchers,n,both,0.65,,0.69,,n,noun,antonym,complementary
batting,pitching,n,questionY,,,0.63,,n,verb,antonym,complementary
beard,mustache,n,questionY,,,0.55,paired,n,,co-hyponym,
beast,man,n,questionY,,,0.67,,n,noun,co-hyponym,
beef,pork,n,questionY,,,0.57,paired,n,,co-hyponym,
beer,wine,n,both,0.62,paired,0.65,paired,n,noun,co-hyponym,
beers,wines,n,questionY,,,0.63,,n,,co-hyponym,
before,after,n,questionX,0.86,paired,,,n,adv,antonym-temporal,complementary
beforehand,after,n,questionX,0.57,,,,n,,antonym-temporal,
begin,end,y,both,0.83,,0.51,,n,verb,antonym,complementary
beginning,end,n,both,0.8,,0.62,paired,n,noun,antonym,complementary
begins,ends,n,questionX,0.79,,,,n,verb,antonym,complementary
believe,not,n,questionX,0.52,,,,n,not-annotated,proform,
believers,skeptics,n,questionX,0.67,paired,,,n,noun,antonym,complementary
below,above,y,both,0.88,paired,0.87,,n,adj/adv,antonym,complementary
beneath,above,n,both,0.75,,0.84,,n,adj/adv,antonym,complementary
bent,straight,n,questionY,,,0.72,,n,adj,antonym,complementary
best,worst,y,questionX,0.62,,,,n,adj,antonym,scalar
beta,alpha,n,both,0.8,paired,0.92,paired,n,adj,co-hyponym,
better,worse,y,questionX,0.96,paired,,,n,adj,antonym,scalar
beverage,food,n,both,0.58,,0.9,,n,noun,antonym,complementary
beverages,food,n,questionY,,,0.55,,n,noun,antonym,complementary
big,small,y,both,0.82,,0.66,paired,n,adj,antonym,scalar
bigger,smaller,n,both,0.85,,0.81,,n,adj,antonym,scalar
bike,car,n,questionY,,,0.5,,n,,co-hyponym,
bikes,cars,n,questionY,,,0.54,,n,noun,co-hyponym,
bilateral,bilateral,n,questionY,,,0.65,paired,y,,x-identical,
billions,trillions,n,questionX,0.55,paired,,,n,,co-hyponym-numeric,
billions,millions,n,questionY,,,0.61,,n,noun,co-hyponym-numeric,
birth,death,y,questionX,0.56,,,,n,,antonym,complementary
births,deaths,n,questionX,0.86,,,,n,noun,antonym,complementary
bishops,priests,n,questionX,0.53,,,,n,,co-hyponym,
bits,bytes,n,questionX,0.69,,,,n,noun,co-hyponym,
black,white,y,both,0.77,,0.75,paired,n,adj,antonym,complementary
blacks,whites,n,both,0.85,paired,0.86,paired,n,noun,antonym,complementary
bless,curse,y,questionX,0.85,,,,n,verb,antonym,complementary
blessing,curse,n,both,0.93,paired,0.72,paired,n,noun,antonym,complementary
blessings,curses,n,questionX,0.67,,,,n,noun,antonym,complementary
blind,deaf,n,questionX,0.75,,,,n,adj,co-hyponym,
boiled,frozen,n,questionX,0.62,,,,n,verb,co-hyponym,
bonds,stocks,n,questionY,,,0.62,paired,n,noun,co-hyponym,
boom,bust,n,questionX,0.99,,,,n,noun,antonym,complementary
boon,curse,n,questionX,0.85,,,,n,noun,antonym,complementary
borough,city,n,questionY,,,0.66,,n,noun,co-hyponym,
borrowers,lenders,n,questionY,,,0.72,,n,,antonym,converse
both,neither,n,questionX,0.59,paired,,,n,,antonym,complementary
bottled,canned,n,both,0.58,,0.62,,n,noun,co-hyponym,
bottles,cans,n,both,0.65,paired,0.71,paired,n,noun,co-hyponym,
bottom,top,y,both,0.55,paired,0.75,paired,n,adj,antonym,scalar
bows,arrows,n,questionX,0.68,,,,n,noun,co-hyponym,
boy,girl,y,both,0.88,paired,0.91,paired,n,noun,antonym,complementary
boyfriend,girlfriend,n,both,0.92,,0.62,paired,n,noun,antonym,complementary
boys,girls,n,both,0.94,paired,0.88,paired,n,noun,antonym,complementary
braking,acceleration,n,both,0.56,,0.54,,n,,antonym,scalar
break,make,y,questionY,,,0.91,,n,verb,antonym,complementary
brewed,distilled,n,questionX,0.51,,,,n,,co-hyponym,
bride,groom,n,both,0.78,paired,0.55,paired,n,noun,antonym,complementary
bridges,tunnels,n,questionX,0.57,,,,n,,co-hyponym,
brightest,best,n,questionY,,,0.79,,n,adj,other-conventional,
broad,narrow,n,both,0.81,,0.62,,n,adj,antonym,scalar
broader,narrower,n,questionX,0.61,,,,n,adj,antonym,scalar
broadly,specifically,n,questionY,,,0.64,,n,adv,antonym,scalar
brother,sister,y,questionX,0.89,,,,n,noun,antonym,complementary
brothers,sisters,n,both,0.82,paired,0.57,paired,n,,antonym,complementary
brunch,dinner,n,questionX,0.54,,,,n,noun,co-hyponym,
bullish,neutral,n,questionY,,,0.6,,n,,co-hyponym,
