Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
able,willing,n,ratherY,,,0.75,,n,adj,co-hyponym,
abnormal,normal,y,ratherX,0.55,,,,n,adj,antonym,scalar
above,below,y,both-rather,0.92,paired,0.7,paired,n,adj/adv,antonym,complementary
abruptly,gradually,n,ratherY,,,0.6,,n,adv,antonym,scalar
absent,absent,n,ratherX,0.59,paired,,,y,,x-identical,
absolute,relative,y,both-rather,0.94,paired,0.86,paired,n,adj,antonym,complementary
abundance,scarcity,y,ratherX,0.83,paired,,,n,noun,antonym,scalar
abuser,victim,n,ratherX,0.55,,,,n,noun,antonym,converse
abusers,victims,n,ratherX,0.62,,,,n,noun,antonym-secondary,complementary
accidental,intentional,n,ratherX,0.67,paired,,,n,adj,antonym,complementary
accidentally,intentionally,n,ratherX,0.6,,,,n,adv,antonym,complementary
acquaintances,friends,n,both-rather,0.63,,0.54,,n,noun,nym-near-synonym,
active,passive,y,both-rather,0.92,paired,0.74,,n,adj,antonym,scalar
actively,passively,y,both-rather,0.96,paired,0.89,,n,adv,antonym,scalar
acute,chronic,y,both-rather,0.89,paired,0.86,paired,n,adj,antonym,complementary
add,subtract,y,both-rather,0.55,paired,0.59,paired,n,verb,antonym,complementary
addition,multiplication,n,ratherY,,,0.57,,n,,co-hyponym,
adject,noun,n,ratherY,,,0.54,,n,partial token,x-none,
adjective,noun,n,both-rather,0.85,paired,0.75,paired,n,noun,co-hyponym,
admired,feared,n,ratherY,,,0.67,,n,,opposition-indirect,
admitting,denying,n,ratherX,0.54,,,,n,verb,antonym,complementary
adolescence,childhood,n,ratherY,,,0.53,,n,noun,antonym-secondary,multiple incompatibility
adults,children,n,ratherX,0.55,paired,,,n,noun,antonym,multiple incompatibility
advancing,retreating,n,both-rather,0.76,paired,0.69,,n,verb,antonym,converse
advantage,disadvantage,y,ratherX,0.5,,,,n,noun,antonym,complementary
advantages,disadvantages,n,ratherX,0.69,,,,n,noun,antonym,complementary
adversely,positively,n,both-rather,0.67,,0.87,,n,adv,antonym-secondary,scalar
affects,causes,n,ratherX,0.6,,,,n,,opposition-indirect,
affirmative,negative,y,ratherX,0.71,,,,n,adj,antonym,complementary
afore,after,n,ratherX,0.55,,,,n,adj/adv,antonym-temporal,converse
after,before,n,both-rather,0.89,paired,0.86,,n,adj/adv,antonym-temporal,converse
afterward,before,n,both-rather,0.7,,0.56,,n,adv,antonym-temporal,complementary
afterwards,before,n,ratherX,0.72,,,,n,adv,antonym-temporal,complementary
against,for,n,ratherY,,,0.79,,n,adv,antonym,complementary
ahead,behind,n,ratherX,0.7,paired,,,n,adv,antonym,complementary
album,single,n,ratherX,0.62,,,,n,noun,antonym,complementary
albums,singles,n,ratherX,0.62,,,,n,noun,antonym,complementary
alike,different,n,both-rather,0.59,,0.66,,n,adj,antonym,complementary
alive,dead,y,both-rather,0.86,,0.65,,n,adj,antonym,complementary
all,some,n,ratherY,,,0.54,,n,,co-hyponym-numeric,
allege,prove,n,ratherX,0.51,,,,n,,co-hyponym,
allowed,required,n,ratherX,0.5,,,,n,,co-hyponym,
alpha,beta,n,both-rather,0.58,paired,0.52,,n,adj,co-hyponym,
aluminum,steel,n,ratherX,0.54,,,,n,noun,co-hyponym,
always,sometimes,n,ratherY,,,0.51,,n,,co-hyponym-temporal,
amateur,professional,y,both-rather,0.75,,0.52,,n,noun,antonym,complementary
analog,digital,n,both-rather,0.95,,0.83,,n,adj,antonym,complementary
analogue,digital,y,both-rather,0.89,,0.78,,n,adj,antonym,complementary
anatomy,physiology,n,ratherX,0.6,,,,n,,co-hyponym,
angled,straight,n,ratherX,0.53,,,,n,adj,antonym-secondary,scalar
animal,human,n,ratherX,0.51,,,,n,noun,nym-hyponym,conceptual contrast
anime,manga,n,ratherX,0.59,,,,n,,co-hyponym,
annual,quarterly,n,both-rather,0.69,,0.55,,n,,co-hyponym-temporal,
annually,monthly,n,ratherY,,,0.53,,n,adv,co-hyponym,
another,one,n,both-rather,0.62,,0.65,,n,other/det,opposition-indirect,
answers,questions,n,both-rather,0.62,paired,0.76,,n,noun,antonym,complementary
anterior,posterior,y,both-rather,0.76,paired,0.5,,n,adj,antonym,complementary
anti,pro,y,ratherX,0.75,,,,n,adj,antonym,complementary
any,any,n,ratherX,0.54,paired,,,y,,x-identical,
apart,together,n,both-rather,0.59,,0.72,,n,adv,contrast-group-individual ,complementary
appointed,elected,n,both-rather,0.84,paired,0.73,paired,n,adj/verb,antonym,complementary
aquatic,terrestrial,n,both-rather,0.91,,0.88,,n,adj,antonym,multiple incompatibility
arenas,stadiums,n,both-rather,0.76,,0.64,,n,,co-hyponym,
arrivals,departures,n,both-rather,0.77,,0.8,,n,noun,antonym,complementary
arteries,veins,n,both-rather,0.77,paired,0.63,,n,noun,antonym,complementary
artificially,naturally,y,both-rather,0.6,paired,0.81,,n,adv,antonym,complementary
as,as,n,ratherY,,,0.71,paired,y,,x-identical,
ascending,descending,y,both-rather,0.9,paired,0.78,paired,n,adj/verb,antonym,complementary
ascent,descent,y,ratherX,0.79,paired,,,n,noun,antonym,complementary
asleep,awake,y,ratherX,0.58,paired,,,n,adj,antonym,complementary
assailant,victim,n,ratherX,0.52,,,,n,noun,antonym,complementary
assists,goals,n,ratherX,0.67,,,,n,noun,co-hyponym,complementary
at,at,n,ratherX,0.64,paired,,,y,,x-identical,
ate,drank,n,ratherY,,,0.64,paired,n,,co-hyponym,
atop,below,n,both-rather,0.53,,0.53,,n,adv,antonym-secondary,complementary
attacker,victim,n,both-rather,0.82,,0.53,,n,noun,antonym,complementary
attackers,victims,n,ratherX,0.67,,,,n,noun,antonym,complementary
attacking,defending,n,ratherX,0.75,paired,,,n,adj/verb,antonym,complementary
attic,basement,n,ratherX,0.66,,,,n,noun,antonym,complementary
auditory,visual,n,both-rather,0.56,,0.57,,n,adj,co-hyponym,
augment,replace,n,ratherX,0.68,,,,n,,co-hyponym,
automatic,manual,y,both-rather,0.67,,0.59,,n,adj,antonym,scalar
automatically,manually,n,ratherX,0.63,,,,n,adv,antonym-secondary,scalar
awake,asleep,y,ratherX,0.6,paired,,,n,adj,antonym,complementary
away,home,y,ratherX,0.7,,,,n,adj/adv,antonym,complementary
back,forward,n,ratherY,,,0.61,,n,adv,antonym,complementary
background,foreground,y,ratherX,0.85,paired,,,n,noun,antonym,complementary
backward,forward,y,both-rather,0.81,,0.8,,n,adj/adv,antonym,complementary
backwards,forwards,n,both-rather,0.82,,0.79,paired,n,adj/adv,antonym,complementary
