Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
abnormal,normal,y,versusX,0.73,,,,n,adj,antonym,scalar
abortions,births,n,versusX,0.68,,,,n,,co-hyponym,
above,below,y,versusX,0.55,,,,n,adj/adv,antonym,complementary
abundance,scarcity,y,versusY,,,0.52,,n,noun,antonym,scalar
abuser,victim,n,both,0.74,,0.7,,n,noun,antonym,converse
abusers,victims,n,both,0.52,,0.56,,n,noun,antonym-secondary,complementary
accidental,intentional,n,both,0.6,,0.69,,n,adj,antonym,complementary
accidentally,intentionally,n,versusY,,,0.58,,n,adv,antonym,complementary
accumulate,sell,n,versusY,,,0.57,,n,verb,opposition-indirect,
actively,passively,y,versusY,,,0.52,paired,n,adv,antonym,scalar
actress,actor,n,versusY,,,0.73,,n,noun,antonym,complementary
actresses,actors,n,versusY,,,0.75,,n,noun,antonym,complementary
actual,forecast,n,versusX,0.52,,,,n,,co-hyponym,
acute,chronic,y,versusY,,,0.57,paired,n,adj,antonym,complementary
adapted,original,n,both,0.72,,0.81,,n,adj,antonym,complementary
adjective,noun,n,both,0.84,paired,0.89,paired,n,noun,co-hyponym,
administered,placebo,n,versusX,0.53,,,,n,,co-hyponym,
adolescence,childhood,n,versusY,,,0.6,,n,noun,co-hyponym,multiple incompatibility
adulthood,childhood,n,versusY,,,0.53,,n,noun,antonym,complementary
adversely,positively,n,versusY,,,0.8,,n,adv,antonym-secondary,scalar
affirmative,negative,y,both,0.81,,0.64,,n,adj,antonym,complementary
affluent,poor,n,versusY,,,0.63,,n,adj/noun,antonym-secondary,scalar
aft,fore,y,versusY,,,0.66,,n,adj,antonym,complementary
afternoon,morning,n,versusY,,,0.64,,n,noun,co-hyponym-temporal,
afterward,before,n,versusY,,,0.88,,n,adv,antonym-temporal,complementary
afterwards,before,n,versusY,,,0.85,,n,adv,antonym-temporal,complementary
agility,speed,n,versusY,,,0.59,,n,noun,co-hyponym,
agree,disagree,y,both,0.83,paired,0.51,paired,n,verb,antonym,complementary
aka,aka,n,versusY,,,0.54,paired,y,,x-identical,
alien,human,n,both,0.5,,0.58,,n,,co-hyponym,
aliens,humans,n,both,0.59,,0.56,,n,noun,co-hyponym,
alive,dead,y,both,0.9,,0.87,paired,n,adj,antonym,complementary
alpha,beta,n,both,0.73,,0.63,paired,n,adj,co-hyponym,
aluminum,steel,n,versusX,0.53,,,,n,noun,co-hyponym,
amended,original,n,versusY,,,0.7,,n,,co-hyponym,
analog,digital,n,both,0.86,,0.78,,n,adj,antonym,complementary
analogue,digital,y,both,0.77,,0.8,,n,adj,antonym,complementary
ancient,modern,n,both,0.73,,0.66,,n,adj,antonym,complementary
animals,humans,n,both,0.5,,0.6,,n,noun,co-hyponym,
anime,manga,n,both,0.72,,0.75,,n,,co-hyponym,
another,one,n,versusY,,,0.69,,n,other/det,co-hyponym-numeric,
answer,question,y,versusY,,,0.82,,n,noun/verb,antonym,complementary
answered,asked,n,versusY,,,0.6,,n,verb,antonym,complementary
answering,asking,n,versusY,,,0.6,,n,verb,antonym,complementary
answers,questions,n,versusY,,,0.73,,n,noun,antonym,complementary
antagonist,protagonist,n,versusY,,,0.71,paired,n,noun,antonym,complementary
antagonists,protagonists,n,versusY,,,0.6,,n,noun,antonym,complementary
anterior,posterior,y,both,0.78,paired,0.67,paired,n,adj,antonym,complementary
anti,pro,y,both,0.85,,0.95,,n,adj,antonym,complementary
anticipated,actual,n,versusX,0.62,,,,n,,co-hyponym,
antidepressant,placebo,n,versusX,0.83,,,,n,,co-hyponym,
antique,modern,n,both,0.63,,0.61,,n,adj,antonym,complementary
anybody,anybody,n,versusX,0.69,paired,,,y,,x-identical,
anyone,anyone,n,versusX,0.89,paired,,,y,,x-identical,
apartment,house,n,versusY,,,0.55,,n,noun,co-hyponym,
apes,humans,n,both,0.52,,0.52,,n,noun,co-hyponym,
appellate,trial,n,versusY,,,0.65,,n,adj,co-hyponym,
apples,apples,n,versusY,,,0.85,paired,y,,x-identical,
appointed,elected,n,versusY,,,0.63,,n,adj/verb,antonym,complementary
apprentice,master,n,both,0.66,,0.65,,n,noun,antonym-secondary,complementary
aquatic,terrestrial,n,both,0.65,,0.77,,n,adj,co-hyponym,multiple incompatibility
arc,arc,n,versusX,0.53,paired,,,y,,x-identical,
archaic,modern,n,both,0.73,,0.62,,n,adj,antonym-secondary,complementary
armed,unarmed,y,both,0.96,paired,0.92,paired,n,adj,antonym,complementary
arrivals,departures,n,versusY,,,0.57,,n,noun,antonym,reversive
arriving,departing,n,versusX,0.7,,,,n,verb,antonym,reversive
artificial,natural,y,versusY,,,0.58,,n,adj,antonym,complementary
as,as,n,versusY,,,0.62,paired,y,,x-identical,
ascending,descending,y,both,0.84,paired,0.73,paired,n,adj/verb,antonym,complementary
asks,bids,n,versusY,,,0.59,,n,,co-hyponym,
asleep,awake,y,both,0.86,,0.93,paired,n,adj,antonym,complementary
aspirin,placebo,n,versusX,0.66,,,,n,,co-hyponym,
assailant,victim,n,both,0.74,,0.75,,n,noun,antonym,complementary
assets,liabilities,n,versusX,0.56,paired,,,n,noun,antonym,complementary
assists,goals,n,both,0.62,,0.95,,n,noun,co-hyponym,complementary
assumption,reality,n,versusX,0.56,,,,n,,co-hyponym,
async,async,n,versusY,,,0.6,paired,y,,x-identical,
at,at,n,versusX,0.6,paired,,,y,,x-identical,
attack,defense,n,both,0.92,,0.71,,n,noun,antonym,converse
attacker,victim,n,versusY,,,0.61,,n,noun,antonym,complementary
attackers,defenders,n,versusX,0.58,,,,n,noun,antonym,converse
attacking,defending,n,versusX,0.66,,,,n,adj/verb,antonym,complementary
attic,basement,n,versusY,,,0.53,,n,noun,antonym,complementary
audio,video,n,versusX,0.54,,,,n,adj,co-hyponym,
auditor,auditor,n,versusX,0.52,paired,,,y,,x-identical,
auditory,visual,n,versusY,,,0.67,,n,adj,co-hyponym,
augmented,real,n,versusY,,,0.59,,n,adj,antonym,scalar
automated,manual,n,versusY,,,0.69,,n,adj,antonym,scalar
automatic,manual,y,both,0.75,,0.91,,n,adj,antonym,scalar
automatically,manually,n,versusY,,,0.78,,n,adv,antonym-secondary,scalar
aversion,attraction,n,versusY,,,0.51,,n,noun,antonym,scalar
awake,asleep,y,versusY,,,0.66,paired,n,adj,antonym,complementary
away,home,y,versusY,,,0.98,,n,adj/adv,antonym,complementary
back,back,n,versusX,0.65,paired,,,y,,x-identical,
back,front,y,versusY,,,0.58,,n,adj/noun,antonym,complementary
backward,forward,y,both,0.73,,0.84,,n,adj/adv,antonym,complementary
backwards,forwards,n,both,0.59,,0.74,,n,adj/adv,antonym,complementary
bacterial,viral,n,versusY,,,0.7,,n,adj,co-hyponym,
bad,good,y,both,0.72,,0.91,,n,adj,antonym,scalar
bananas,apples,n,versusY,,,0.51,,n,,co-hyponym,
barley,wheat,n,both,0.67,paired,0.6,,n,noun,co-hyponym,
basin,basin,n,versusX,0.74,paired,,,y,,x-identical,
basis,basis,n,versusX,0.94,paired,,,y,,x-identical,
bat,ball,n,both,0.6,,0.51,,n,noun,co-hyponym,
baths,showers,n,versusY,,,0.64,,n,noun,co-hyponym,
batter,pitcher,n,both,0.73,,0.62,paired,n,noun,antonym,complementary
batters,pitchers,n,versusX,0.66,,,,n,noun,antonym,complementary
bear,bull,y,both,0.74,paired,0.95,,n,noun,antonym-secondary,complementary
beard,mustache,n,versusY,,,0.64,paired,n,,co-hyponym,
bears,bulls,n,both,0.89,paired,0.72,,n,noun,antonym-secondary,complementary
beast,man,n,versusY,,,0.58,,n,noun,co-hyponym,
beef,pork,n,versusX,0.64,paired,,,n,,co-hyponym,
beer,wine,n,both,0.58,paired,0.64,paired,n,noun,co-hyponym,
beers,wines,n,versusY,,,0.58,,n,,co-hyponym,
before,after,n,versusX,0.62,,,,n,adv,antonym-temporal,complementary
begin,end,y,both,0.67,,0.63,,n,verb,antonym,complementary
beginner,expert,n,versusX,0.55,,,,n,noun,antonym,scalar
beginners,experts,n,versusX,0.51,,,,n,noun,antonym,scalar
beginning,end,n,both,0.76,,0.54,,n,noun,antonym,complementary
being,being,n,versusX,0.59,paired,,,y,,x-identical,
believers,skeptics,n,versusX,0.63,paired,,,n,noun,antonym,complementary
below,above,y,versusY,,,0.84,,n,adj/adv,antonym,complementary
bench,starters,n,versusX,0.59,,,,n,,co-hyponym,
beneath,above,n,both,0.77,,0.9,,n,adj/adv,antonym,complementary
benefit,cost,n,both,0.72,,0.85,,n,noun,antonym,scalar
benefits,costs,n,both,0.67,,0.58,,n,noun,antonym,scalar
best,worst,y,versusY,,,0.54,,n,adj,antonym,scalar
beta,alpha,n,versusY,,,0.54,paired,n,adj,co-hyponym,
better,worse,y,versusY,,,0.63,paired,n,adj,antonym,scalar
beverage,food,n,versusY,,,0.82,,n,noun,antonym,complementary
big,small,y,both,0.73,,0.61,,n,adj,antonym,scalar
bigger,smaller,n,both,0.59,,0.8,,n,adj,antonym,scalar
biggest,smallest,n,versusY,,,0.78,,n,adj,antonym,scalar
bike,car,n,versusX,0.53,,,,n,,co-hyponym,
bikes,cars,n,both,0.5,,0.51,,n,noun,co-hyponym,
births,deaths,n,versusY,,,0.63,,n,noun,antonym,complementary
bits,bytes,n,both,0.88,,0.72,,n,noun,co-hyponym,
