Seed,Mask,InWordNet,Cxn,ProbX,HasPairX,ProbY,HasPairY,WordsMatch,POS,NymType,AntonymType
abdomen,chest,n,whetherY,,,0.55,,n,noun,co-hyponym,
able,unwilling,n,whetherX,0.79,,,,n,adj,opposition-indirect,
able,willing,n,whetherY,,,0.74,,n,adj,co-hyponym,
abnormal,normal,y,both,0.8,,0.9,,n,adj,antonym,scalar
aboriginal,white,n,whetherY,,,0.59,,n,adj,co-hyponym,
above,below,y,whetherX,0.9,paired,,,n,adj/adv,antonym,complementary
abrupt,gradual,n,whetherY,,,0.7,,n,adj,antonym,scalar
abruptly,gradually,n,whetherY,,,0.59,,n,adv,antonym,scalar
absence,presence,y,whetherY,,,0.63,,n,noun,antonym,complementary
absent,present,y,whetherY,,,0.94,,n,adj,antonym,complementary
absolute,relative,y,both,0.94,,0.74,,n,adj,antonym,complementary
abundance,scarcity,y,both,0.58,,0.7,,n,noun,antonym,scalar
abundant,scarce,y,whetherY,,,0.54,,n,adj,antonym,scalar
abuser,victim,n,both,0.68,,0.64,,n,noun,antonym,converse
acceleration,braking,n,whetherY,,,0.68,,n,noun/verb,antonym,scalar
acceptance,rejection,y,whetherX,0.55,,,,n,noun,antonym,converse
accepted,rejected,n,both,0.67,,0.56,paired,n,verb,antonym,converse
accidental,intentional,n,whetherY,,,0.59,paired,n,adj,antonym,complementary
accidentally,intentionally,n,whetherY,,,0.58,paired,n,adv,antonym,complementary
accompanied,alone,n,whetherY,,,0.85,,n,adj,antonym-secondary,complementary
accumulate,sell,n,whetherX,0.7,,,,n,verb,opposition-indirect,
acknowledge,deny,n,whetherX,0.52,,,,n,verb,antonym,converse
acqu,guilty,n,whetherY,,,0.62,,n,partial token,x-none,
acquaintances,friends,n,whetherY,,,0.5,,n,noun,nym-near-synonym,
acquitted,convicted,n,both,0.71,paired,0.61,,n,verb,antonym,converse
action,inaction,y,whetherX,0.72,,,,n,noun,antonym,complementary
actions,words,n,whetherY,,,0.59,,n,noun,antonym,complementary
active,passive,y,whetherY,,,0.57,paired,n,adj,antonym,scalar
actively,passively,y,both,0.61,paired,0.94,paired,n,adv,antonym,scalar
actress,actor,n,whetherY,,,0.61,,n,noun,antonym,complementary
actresses,actors,n,whetherY,,,0.95,,n,noun,antonym,complementary
acute,chronic,y,both,0.9,paired,0.92,paired,n,adj,antonym,complementary
adaptation,original,n,whetherY,,,0.64,,n,noun,antonym,complementary
adaptations,originals,n,whetherY,,,0.57,,n,noun,antonym,complementary
adapted,original,n,whetherY,,,0.82,,n,adj,antonym,complementary
adjective,noun,n,both,0.85,paired,0.89,paired,n,noun,co-hyponym,
admired,disliked,n,whetherX,0.64,,,,n,verb,antonym-secondary,scalar
admit,deny,y,both,0.73,,0.72,,n,verb,antonym,complementary
admits,denies,n,both,0.62,,0.52,,n,verb,antonym,complementary
admitted,denied,n,both,0.58,,0.69,,n,verb,antonym,complementary
admitting,denying,n,both,0.72,,0.8,,n,verb,antonym,complementary
adolescence,childhood,n,whetherY,,,0.81,,n,noun,co-hyponym,multiple incompatibility
adolescent,adult,n,both,0.68,,0.66,,n,noun,antonym,multiple incompatibility
adopted,natural,n,whetherY,,,0.71,,n,adj,antonym-secondary,complementary
adoptive,biological,y,whetherY,,,0.8,,n,adj,antonym,complementary
adult,child,n,whetherY,,,0.71,paired,n,noun,antonym,multiple incompatibility
adults,children,n,both,0.61,paired,0.71,paired,n,noun,antonym,multiple incompatibility
advanced,primitive,n,whetherY,,,0.51,,n,adj,antonym,scalar
advancing,retreating,n,whetherX,0.71,,,,n,verb,antonym,converse
advantage,disadvantage,y,both,0.93,,0.81,paired,n,noun,antonym,complementary
advantages,disadvantages,n,both,0.94,paired,0.69,paired,n,noun,antonym,complementary
adversaries,allies,n,whetherY,,,0.51,,n,noun,antonym,complementary
adversary,friend,n,whetherY,,,0.53,,n,noun,antonym,complementary
adversely,positively,n,both,0.53,,0.78,,n,adv,antonym-secondary,scalar
aerial,terrestrial,n,whetherY,,,0.59,,n,adj,co-hyponym,complementary
affirmative,negative,y,both,0.88,,0.87,,n,adj,antonym,complementary
