pairid,A-word,B-word,Jones2002,Jones2012,Paradis2009Elicit,Paradis2009Judge,deWeijer2012,LowFreq,Canonical,CorePair,WordNet,Ant-Type,Morpological,POS,WordNet-Has-Antonyms,A-WordNet-Antonym,B-WordNet-Antonym,A-WordNet-Synsets,B-WordNet-Synsets
1,active,passive,y,n,n,n,y,n,n,y,y,scalar-bounded,n,adj,both,extinct;quiet;inactive;stative;dormant;passive;,active,17,4
2,advantage,disadvantage,y,n,n,n,n,n,n,y,y,complementary,y,noun,both,disadvantage,advantage,4,2
3,agree,disagree,y,n,n,n,n,n,n,y,y,complementary,y,verb,both,disagree,agree,7,2
4,beautiful,ugly,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,ugly,beautiful,2,4
5,begin,end,y,n,n,n,n,n,n,y,y,reversive,n,verb,both,end,begin;beginning;,11,18
6,big,small,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,small;little;,large;big;,17,13
7,black,white,n,n,y,n,n,n,n,y,y,complementary,n,adj,both,white,black,22,25
8,boom,recession,y,n,n,n,n,n,n,y,n,complementary,n,noun,neither,none,none,10,5
9,boring,exciting,n,n,y,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,none,unexciting,5,10
10,bright,dim,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,dull,none,11,10
11,bright,dull,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,dull,bright;sharp;sharpen;lively;,11,19
12,broad,narrow,n,y,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,widen;wide;,9,10
13,clean,dirty,n,n,y,n,y,n,n,y,y,scalar-bounded,n,adj,both,unclean;dirty;,clean,31,13
14,clever,stupid,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,none,smart,3,4
15,confirm,deny,y,n,n,n,n,n,n,y,n,complementary,n,verb,neither,none,admit;allow;,5,7
16,correct,incorrect,y,n,n,n,n,n,n,y,y,complementary,y,adj,both,falsify;incorrect;,correct,12,4
17,covered,bare,n,n,y,n,n,n,n,y,y,complementary,n,adj,both,bare,covered,27,13
18,dark,bright,n,y,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,light,dull,16,11
19,dead,alive,y,n,n,n,y,n,n,y,y,complementary,n,adj,both,alive;live;living;,dead,21,7
20,defend,attack,y,n,n,n,n,n,n,y,y,converse,n,verb,both,attack;prosecute;,defend,7,15
21,directly,indirectly,y,n,n,n,n,n,n,y,y,complementary,y,adv,both,indirectly,directly,4,1
22,drunk,sober,y,n,y,n,n,n,n,y,n,scalar-bounded,n,adj,neither,none,intoxicated,9,7
23,easy,difficult,y,n,n,n,y,n,n,y,y,scalar-unbounded,n,adj,both,uneasy;difficult;,easy,15,2
24,easy,hard,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,uneasy;difficult;,soft,15,22
25,encourage,discourage,y,n,n,n,n,n,n,y,y,reversive,y,verb,both,discourage,encourage,3,3
26,explicitly,implicitly,y,n,n,n,n,n,n,y,y,complementary,n,adv,both,implicitly,explicitly,1,2
27,fact,fiction,y,n,n,n,n,n,n,y,n,complementary,n,noun,neither,none,none,4,2
28,fast,slow,y,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,slow,fast,15,11
29,fat,thin,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,thin,thicken;fat;full;thick;,9,13
30,fat,skinny,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,thin,none,9,5
31,feeble,strong,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,weak,4,10
32,filthy,clean,n,n,y,n,n,n,n,y,n,scalar-bounded,n,adj,neither,none,unclean;dirty;,3,31
