word1,word2,IsAnt
efficient,incompetent,1
precipitous,steep,0
mystical,mysterious,0
dovish,hawkish,1
stout,fat,0
imaginary,real,1
lateral,bottom,1
insulting,abusive,0
heavy,deep,0
null,valid,1
wild,realistic,1
intact,sound,0
preposterous,ridiculous,0
idle,busy,1
pretty,mean,0
welcome,unwelcome,1
primitive,ancient,0
colloquial,informal,0
strong,influential,0
hot,far,1
famous,celebrated,0
streamlined,aerodynamic,0
bilateral,unilateral,1
wild,irregular,0
integrated,structured,0
deciduous,permanent,1
patulous,open,0
philosophical,emotional,1
structured,unstructured,1
selfish,unselfish,1
familiar,fresh,0
plump,lean,1
broad,small,1
female,feminine,0
unlawful,lawful,1
secure,vulnerable,1
fuzzy,hairless,1
perinatal,prenatal,1
irreversible,reversible,1
unbound,bound,1
equal,mixed,1
concordant,discordant,1
steep,hilly,0
naturalistic,realistic,0
humid,dry,1
splendid,great,0
spirited,fiery,0
unreserved,reserved,1
literal,actual,0
bare,unadorned,0
antique,new,1
frank,sincere,0
low,coarse,0
casual,formal,1
collective,capitalist,1
irregular,normal,1
collective,corporate,0
perpendicular,inclined,1
incoherent,coherent,1
open,closed,1
painful,comfortable,1
sad,hard,0
distal,mesial,1
noble,sublime,0
oriental,occidental,1
rocky,stable,1
fit,prepared,0
tiresome,interesting,1
witting,unwitting,1
great,small,1
other,additional,0
wooded,overgrown,0
lone,single,0
pastel,dark,1
quadruple,single,1
wide,thin,1
noisy,quiet,1
hilarious,funny,0
dorsal,ventral,1
wild,mild,1
waterlogged,swampy,0
entire,undivided,0
female,androgynous,1
monumental,small,1
unorganized,organized,1
unfair,unjustified,0
distinct,indistinct,1
stationary,immovable,0
wide,broad,0
clear,guilty,1
lusty,strong,0
loyal,firm,0
worldwide,national,1
fit,suitable,0
human,nonhuman,1
lasting,stable,0
incompatible,inappropriate,0
stale,moldy,0
covert,secret,0
notable,evident,0
dim,mysterious,0
superfluous,necessary,1
deep,thin,1
antisubmarine,offensive,1
despicable,mean,0
covetous,greedy,0
erroneous,TRUE,1
liquid,solid,1
express,slow,1
taiwanese,formosan,0
heated,cold,1
devoted,constant,0
conditional,subject,0
underground,hidden,0
brittle,fragile,0
unable,ineffectual,0
effective,possible,1
sharp,flat,1
silly,stupid,0
flat,boring,0
segregated,integrated,1
interior,coastal,1
zygomorphic,actinomorphic,1
impolite,rude,0
obsolete,old,0
primitive,original,0
obsolete,ancient,0
comprehensive,thorough,0
diamagnetic,paramagnetic,1
strange,native,1
adequate,competent,0
past,present,1
precocial,altricial,1
unique,comparable,1
viviparous,oviparous,1
reversible,irreversible,1
brown,foxy,0
positive,neutral,1
tame,domestic,0
rough,crude,0
subordinate,chief,1
soft,intense,1
classical,canonical,0
perennial,short,1
hypotonic,hypertonic,1
facultative,obligate,1
holy,unholy,1
illicit,legal,1
optimistic,hopeful,0
intangible,tangible,1
joyous,happy,0
abrupt,steep,0
eastern,east,0
deserving,worthy,0
increased,reduced,1
overbearing,bossy,0
watery,dry,1
frosty,hot,1
inconspicuous,conspicuous,1
reduced,increased,1
unsure,shy,0
weak,smart,1
affluent,poor,1
prescriptive,descriptive,1
bent,upright,1
meritorious,deserving,0
ambitious,easy,1
minor,underage,0
infinite,countless,0
elaborate,simple,1
average,normal,0
thoughtful,considerate,0
tyrannical,dictatorial,0
fair,upright,0
accountable,answerable,0
speculative,empirical,1
opulent,rich,0
homegrown,foreign,1
straight,curved,1
justified,unjustified,1
