word1,word2,IsAnt
trap,bunker,0
infinitesimal,infinity,1
group,horde,0
adhesion,bond,0
grandson,grandfather,1
treasurer,receiver,0
angiosperm,gymnosperm,1
illiteracy,literacy,1
overture,approach,0
support,encourage,0
dent,indentation,0
drive,motor,0
defence,prosecution,1
deficiency,excess,1
belgium,belgique,0
ditch,dike,0
column,row,1
girl,son,1
illness,disease,0
asymmetry,symmetry,1
extrovert,introvert,1
limitation,measurement,0
men,woman,1
zenith,nadir,1
news,word,0
dependency,addiction,0
skepticism,belief,1
carbohydrate,sugar,0
scepticism,belief,1
intension,extension,1
row,paddle,0
clozapine,clozaril,0
root,zealand,0
reject,accept,1
distortion,aberration,0
enema,injection,0
combatant,noncombatant,1
elevation,depression,1
helicopter,copter,0
grandmother,nan,0
loser,victor,1
scrivener,scribe,0
vassal,lord,1
author,generator,0
maxima,minimum,1
fortification,tower,0
mantissa,characteristic,1
western,eastern,1
purpose,object,0
resistance,opposition,0
collection,congregation,0
place,rank,0
answer,inquiry,1
original,first,0
output,input,1
shape,facet,0
functionality,procedure,0
test,tryout,0
mount,bank,0
title,appellation,0
litre,liter,0
descendant,ascendant,1
cooperation,contest,1
goodbye,farewell,0
activity,rest,1
play,maneuver,0
inaccuracy,truth,1
citizen,stranger,1
sweet,kind,0
regard,estimate,0
faculty,gift,0
exotoxin,endotoxin,1
daytime,dark,1
tentacle,feeler,0
succession,lineage,0
behavior,comportment,0
tract,region,0
plaintiff,defendant,1
accomplice,accessory,0
slab,plate,0
solution,release,0
tool,dick,0
buying,sale,1
frog,english,1
passive,active,1
division,distribution,0
smile,frown,1
nationalism,internationalism,1
mortgage,pledge,0
tithe,tenth,0
havoc,devastation,0
power,powerlessness,1
local,general,1
singlet,doublet,1
terror,dismay,0
cartoon,caricature,0
elect,reprobate,1
sovereignty,reign,0
accommodation,adaptation,0
lightness,light,0
roach,cockroach,0
dark,light,1
store,boutique,0
root,descendant,1
industry,attention,0
gaming,play,0
peacetime,wartime,1
