word1,word2,POS
idle,busy,adj
welcome,unwelcome,adj
unlawful,lawful,adj
irreversible,reversible,adj
open,closed,adj
noisy,quiet,adj
segregated,integrated,adj
reversible,irreversible,adj
intangible,tangible,adj
straight,curved,adj
bright,dull,adj
inexperienced,experienced,adj
sudden,gradual,adj
paranormal,normal,adj
forward,backward,adj
black,white,adj
native,foreign,adj
unsuccessful,successful,adj
ethical,unethical,adj
second,first,adj
central,peripheral,adj
pro,anti,adj
narrow,wide,adj
rural,urban,adj
dangerous,safe,adj
top,bottom,adj
junior,senior,adj
unregulated,regulated,adj
inaccurate,accurate,adj
loud,soft,adj
experienced,inexperienced,adj
tense,lax,adj
organic,functional,adj
separate,joint,adj
free,bound,adj
past,future,adj
major,minor,adj
inside,outside,adj
willing,unwilling,adj
limited,unlimited,adj
unclear,clear,adj
warm,cool,adj
functional,organic,adj
smart,stupid,adj
little,big,adj
incompatible,compatible,adj
unfavorable,favorable,adj
immature,mature,adj
new,old,adj
bold,timid,adj
paid,unpaid,adj
national,local,adj
appropriate,inappropriate,adj
worthless,valuable,adj
moral,immoral,adj
alternate,opposite,adj
foreign,domestic,adj
immoral,moral,adj
biological,adoptive,adj
local,national,adj
liberal,conservative,adj
supernatural,natural,adj
prepared,unprepared,adj
friendly,hostile,adj
extensive,intensive,adj
old,young,adj
reasonable,unreasonable,adj
outside,inside,adj
timid,bold,adj
joint,separate,adj
odd,even,adj
plain,fancy,adj
wide,narrow,adj
sufficient,insufficient,adj
cowardly,brave,adj
unofficial,official,adj
old,new,adj
minus,plus,adj
affected,unaffected,adj
professional,amateur,adj
multiple,single,adj
powerless,powerful,adj
inappropriate,appropriate,adj
close,distant,adj
wicked,virtuous,adj
comfortable,uncomfortable,adj
general,specific,adj
southern,northern,adj
stale,fresh,adj
other,same,adj
intense,mild,adj
nominal,real,adj
expensive,cheap,adj
big,little,adj
quiet,active,adj
masculine,feminine,adj
insecure,secure,adj
eligible,ineligible,adj
automatic,manual,adj
constructive,destructive,adj
express,local,adj
finite,infinite,adj
tight,loose,adj
opposite,alternate,adj
acceptable,unacceptable,adj
natural,supernatural,adj
authorized,unauthorized,adj
pro,con,adj
undesirable,desirable,adj
credible,incredible,adj
inadequate,adequate,adj
brave,timid,adj
thin,thick,adj
salty,fresh,adj
full,thin,adj
guilty,innocent,adj
big,small,adj
east,west,adj
unmarried,married,adj
competent,incompetent,adj
manned,unmanned,adj
improper,proper,adj
humble,proud,adj
mortal,immortal,adj
downstream,upstream,adj
square,round,adj
innocent,guilty,adj
unpopular,popular,adj
sane,insane,adj
foreign,native,adj
legal,illegal,adj
absent,present,adj
same,different,adj
common,individual,adj
invalid,valid,adj
cool,warm,adj
clear,opaque,adj
active,dormant,adj
thin,fat,adj
applied,theoretical,adj
out,safe,adj
superficial,profound,adj
hollow,solid,adj
fat,thin,adj
half,whole,adj
unemployed,employed,adj
clear,unclear,adj
powerful,powerless,adj
due,undue,adj
attached,detached,adj
unusual,usual,adj
harmless,harmful,adj
beautiful,ugly,adj
light,dark,adj
new,worn,adj
correct,incorrect,adj
specified,unspecified,adj
extant,extinct,adj
indirect,direct,adj
sensitive,insensitive,adj
unrelated,related,adj
instrumental,vocal,adj
tough,tender,adj
equal,unequal,adj
immortal,mortal,adj
sharp,dull,adj
decent,indecent,adj
natural,unnatural,adj
covered,bare,adj
small,big,adj
back,front,adj
unacceptable,acceptable,adj
amateur,professional,adj
focused,unfocused,adj
constitutional,unconstitutional,adj
asleep,awake,adj
uncomfortable,comfortable,adj
local,express,adj
anal,oral,adj
improbable,probable,adj
certain,uncertain,adj
fresh,salty,adj
secondary,primary,adj
adequate,inadequate,adj
formal,informal,adj
honest,dishonest,adj
unfinished,finished,adj
married,unmarried,adj
normal,abnormal,adj
optimistic,pessimistic,adj
live,recorded,adj
sweet,dry,adj
unhealthy,healthy,adj
unmanned,manned,adj
superior,inferior,adj
exclusive,inclusive,adj
subordinate,dominant,adj
last,first,adj
opaque,clear,adj
general,particular,adj
insensitive,sensitive,adj
capable,incapable,adj
