word1,word2,POS
busy,idle,adj
unwelcome,welcome,adj
lawful,unlawful,adj
irreversible,reversible,adj
noisy,quiet,adj
integrated,segregated,adj
intangible,tangible,adj
curved,straight,adj
experienced,inexperienced,adj
normal,paranormal,adj
backward,forward,adj
foreign,native,adj
successful,unsuccessful,adj
ethical,unethical,adj
first,second,adj
central,peripheral,adj
anti,pro,adj
dangerous,safe,adj
bottom,top,adj
junior,senior,adj
regulated,unregulated,adj
accurate,inaccurate,adj
loud,soft,adj
lax,tense,adj
functional,organic,adj
joint,separate,adj
bound,free,adj
future,past,adj
inside,outside,adj
unwilling,willing,adj
limited,unlimited,adj
clear,unclear,adj
cool,warm,adj
smart,stupid,adj
compatible,incompatible,adj
favorable,unfavorable,adj
immature,mature,adj
bold,timid,adj
paid,unpaid,adj
local,national,adj
appropriate,inappropriate,adj
valuable,worthless,adj
immoral,moral,adj
alternate,opposite,adj
domestic,foreign,adj
adoptive,biological,adj
conservative,liberal,adj
natural,supernatural,adj
prepared,unprepared,adj
extensive,intensive,adj
reasonable,unreasonable,adj
even,odd,adj
fancy,plain,adj
insufficient,sufficient,adj
brave,cowardly,adj
official,unofficial,adj
minus,plus,adj
affected,unaffected,adj
amateur,professional,adj
multiple,single,adj
powerful,powerless,adj
close,distant,adj
virtuous,wicked,adj
comfortable,uncomfortable,adj
general,specific,adj
northern,southern,adj
fresh,stale,adj
other,same,adj
intense,mild,adj
nominal,real,adj
cheap,expensive,adj
active,quiet,adj
insecure,secure,adj
eligible,ineligible,adj
automatic,manual,adj
constructive,destructive,adj
express,local,adj
finite,infinite,adj
loose,tight,adj
acceptable,unacceptable,adj
authorized,unauthorized,adj
con,pro,adj
desirable,undesirable,adj
credible,incredible,adj
adequate,inadequate,adj
brave,timid,adj
fresh,salty,adj
full,thin,adj
guilty,innocent,adj
east,west,adj
competent,incompetent,adj
manned,unmanned,adj
improper,proper,adj
humble,proud,adj
immortal,mortal,adj
downstream,upstream,adj
round,square,adj
popular,unpopular,adj
insane,sane,adj
absent,present,adj
different,same,adj
common,individual,adj
invalid,valid,adj
clear,opaque,adj
active,dormant,adj
applied,theoretical,adj
out,safe,adj
profound,superficial,adj
hollow,solid,adj
half,whole,adj
employed,unemployed,adj
due,undue,adj
attached,detached,adj
unusual,usual,adj
harmful,harmless,adj
new,worn,adj
specified,unspecified,adj
extant,extinct,adj
direct,indirect,adj
insensitive,sensitive,adj
related,unrelated,adj
instrumental,vocal,adj
tender,tough,adj
equal,unequal,adj
dull,sharp,adj
decent,indecent,adj
natural,unnatural,adj
back,front,adj
focused,unfocused,adj
constitutional,unconstitutional,adj
asleep,awake,adj
anal,oral,adj
improbable,probable,adj
certain,uncertain,adj
primary,secondary,adj
formal,informal,adj
finished,unfinished,adj
abnormal,normal,adj
live,recorded,adj
dry,sweet,adj
inferior,superior,adj
exclusive,inclusive,adj
dominant,subordinate,adj
first,last,adj
general,particular,adj
capable,incapable,adj
available,unavailable,adj
realistic,unrealistic,adj
tame,wild,adj
gradual,steep,adj
sure,unsure,adj
naive,sophisticated,adj
defensive,offensive,adj
dead,living,adj
armed,unarmed,adj
crooked,straight,adj
incoming,outgoing,adj
extraordinary,ordinary,adj
insignificant,significant,adj
disorderly,orderly,adj
marked,unmarked,adj
double,single,adj
illegitimate,legitimate,adj
meaningful,meaningless,adj
stable,unstable,adj
real,unreal,adj
irresponsible,responsible,adj
qualitative,quantitative,adj
loaded,unloaded,adj
fair,foul,adj
