word1,word2,POS
reject,accept,noun
western,eastern,noun
plaintiff,defendant,noun
passive,active,noun
local,general,noun
dark,light,noun
closing,opening,noun
follower,leader,noun
infertility,fertility,noun
competence,incompetence,noun
evil,good,noun
winner,loser,noun
ending,beginning,noun
aged,young,noun
negative,positive,noun
head,tail,noun
worst,best,noun
debtor,creditor,noun
outer,inner,noun
innocence,guilt,noun
head,rear,noun
latter,former,noun
obscurity,clarity,noun
safety,danger,noun
lead,deficit,noun
minimum,maximum,noun
sell,buy,noun
sound,silence,noun
push,pull,noun
disorder,order,noun
offence,defence,noun
divergence,convergence,noun
loser,winner,noun
disadvantage,advantage,noun
stupidity,intelligence,noun
decline,improvement,noun
software,hardware,noun
plural,singular,noun
import,export,noun
young,old,noun
living,dead,noun
deep,shallow,noun
analysis,synthesis,noun
preparation,resolution,noun
irregular,regular,noun
dead,alive,noun
stability,instability,noun
figure,ground,noun
wet,dry,noun
defendant,plaintiff,noun
lock,unlock,noun
acquaintance,stranger,noun
opacity,transparency,noun
liking,dislike,noun
union,separation,noun
death,birth,noun
weakness,strength,noun
credit,cash,noun
hate,love,noun
danger,safety,noun
question,answer,noun
foot,head,noun
private,public,noun
boy,girl,noun
borrower,lender,noun
creditor,debtor,noun
superior,inferior,noun
prefix,suffix,noun
clarity,obscurity,noun
sweet,sour,noun
prominence,obscurity,noun
same,different,noun
inequality,equality,noun
offense,defense,noun
imperfect,perfect,noun
intelligence,stupidity,noun
uncle,aunt,noun
like,dislike,noun
immortality,mortality,noun
masculine,feminine,noun
lender,borrower,noun
woman,man,noun
miss,hit,noun
answer,question,noun
mortality,immortality,noun
trust,mistrust,noun
silence,sound,noun
studio,location,noun
rear,front,noun
competition,cooperation,noun
difficulty,ease,noun
bear,bull,noun
debit,credit,noun
employer,employee,noun
inaction,action,noun
hard,soft,noun
joy,sorrow,noun
pain,pleasure,noun
parent,child,noun
small,large,noun
last,first,noun
cooperation,competition,noun
low,high,noun
front,back,noun
insanity,sanity,noun
right,wrong,noun
defence,offence,noun
rejection,acceptance,noun
sadness,happiness,noun
loss,gain,noun
majority,minority,noun
failure,success,noun
satisfaction,dissatisfaction,noun
interior,exterior,noun
wealth,poverty,noun
pleasure,pain,noun
west,east,noun
downstairs,upstairs,noun
liberal,conservative,noun
simplicity,complexity,noun
plain,fancy,noun
victory,defeat,noun
progress,regress,noun
high,low,noun
hearing,deaf,noun
minor,major,noun
particular,universal,noun
laugh,cry,noun
niece,nephew,noun
asset,liability,noun
maximum,minimum,noun
singular,plural,noun
advance,retreat,noun
illness,wellness,noun
exterior,interior,noun
distrust,trust,noun
resolution,preparation,noun
inferior,superior,noun
equality,inequality,noun
brother,sister,noun
son,daughter,noun
supply,demand,noun
man,woman,noun
head,foot,noun
employment,unemployment,noun
present,absent,noun
certainty,uncertainty,noun
relative,absolute,noun
deflation,inflation,noun
inconsistency,consistency,noun
disappearance,appearance,noun
dove,hawk,noun
light,heavy,noun
absence,presence,noun
female,male,noun
cry,laugh,noun
bottom,top,noun
impossibility,possibility,noun
minority,majority,noun
acceptance,rejection,noun
cold,hot,noun
aunt,uncle,noun
balance,imbalance,noun
subjective,objective,noun
comedy,tragedy,noun
unwillingness,willingness,noun
mistrust,trust,noun
finish,start,noun
back,front,noun
decrease,increase,noun
intolerance,tolerance,noun
poverty,wealth,noun
imbalance,balance,noun
start,finish,noun
mortal,immortal,noun
specific,general,noun
male,female,noun
adult,juvenile,noun
employee,employer,noun
trust,distrust,noun
white,black,noun
tail,head,noun
peace,war,noun
objective,subjective,noun
penalty,reward,noun
sunrise,sunset,noun
defeat,victory,noun
humility,pride,noun
open,shut,noun
action,inaction,noun
fall,rise,noun
hire,fire,noun
take,give,noun
parasite,host,noun
advantage,disadvantage,noun
hardware,software,noun
foreground,background,noun
consistency,inconsistency,noun
disagreement,agreement,noun
negative,affirmative,noun
concentration,distribution,noun
despair,hope,noun
fertility,infertility,noun
affirmative,negative,noun
general,specific,noun
improvement,decline,noun
conservative,liberal,noun
obedience,disobedience,noun
outside,inside,noun
host,parasite,noun
major,minor,noun
complexity,simplicity,noun
rear,head,noun
former,latter,noun
upstairs,downstairs,noun
substantive,adjective,noun
feminine,masculine,noun
convergence,divergence,noun
known,unknown,noun
falsehood,truth,noun
night,day,noun
lose,win,noun
child,parent,noun
manual,automatic,noun
demand,supply,noun
dissatisfaction,satisfaction,noun
suffix,prefix,noun
posterior,anterior,noun
discomfort,comfort,noun
opening,closing,noun
rise,fall,noun
day,night,noun
front,rear,noun
whisper,shout,noun
forward,backward,noun
east,west,noun
increase,decrease,noun
folly,wisdom,noun
retail,wholesale,noun
regular,irregular,noun
open,closed,noun
ground,figure,noun
reward,penalty,noun
public,private,noun
capitalism,socialism,noun
bull,bear,noun
conception,misconception,noun
sister,brother,noun
truth,falsehood,noun
source,sink,noun
widening,narrowing,noun
gross,net,noun
ability,inability,noun
dislike,like,noun
approval,disapproval,noun
inclusion,exclusion,noun
disrespect,respect,noun
willingness,unwillingness,noun
buy,sell,noun
success,failure,noun
irrational,rational,noun
depreciation,appreciation,noun
happiness,sadness,noun
tragedy,comedy,noun
wrong,right,noun
net,gross,noun
pro,con,noun
express,local,noun
ease,difficulty,noun
segregation,integration,noun
misconception,conception,noun
daughter,son,noun
scarcity,abundance,noun
integration,segregation,noun
comfort,discomfort,noun
socialism,capitalism,noun
short,long,noun
artificial,natural,noun
analogue,digital,noun
left,right,noun
rich,poor,noun
disapproval,approval,noun
warm,cool,noun
domestic,foreign,noun
guilt,innocence,noun
soft,hard,noun
fore,aft,noun
hope,despair,noun
girl,boy,noun
deficit,lead,noun
patient,impatient,noun
internal,external,noun
black,white,noun
beginning,ending,noun
separation,union,noun
transparency,opacity,noun
liability,asset,noun
weakening,strengthening,noun
shout,whisper,noun
descendant,ancestor,noun
past,future,noun
inflation,deflation,noun
foe,friend,noun
location,studio,noun
defense,offense,noun
dead,living,noun
insecurity,security,noun
automatic,manual,noun
credit,debit,noun
husband,wife,noun
right,left,noun
order,disorder,noun
con,pro,noun
synthesis,analysis,noun
respect,disrespect,noun
prosecution,defense,noun
