word1,word2,POS
enjoy,suffer,verb
align,skew,verb
laugh,cry,verb
set,rise,verb
fail,pass,verb
enrich,deprive,verb
change,stay,verb
rise,fall,verb
close,open,verb
subtract,add,verb
resist,surrender,verb
feed,starve,verb
freeze,boil,verb
disorder,order,verb
dislike,like,verb
alive,dead,verb
accept,refuse,verb
open,close,verb
find,lose,verb
stand,yield,verb
suffer,enjoy,verb
present,absent,verb
succeed,fail,verb
keep,break,verb
praise,criticize,verb
upgrade,downgrade,verb
admit,exclude,verb
boo,applaud,verb
detach,attach,verb
affirm,negate,verb
lose,win,verb
sink,float,verb
exclude,include,verb
like,dislike,verb
wake,sleep,verb
rise,set,verb
descend,ascend,verb
worry,reassure,verb
make,break,verb
fold,unfold,verb
claim,forfeit,verb
erase,record,verb
wet,dry,verb
break,make,verb
give,take,verb
lose,find,verb
reject,admit,verb
pull,push,verb
include,exclude,verb
forget,mind,verb
invest,divest,verb
decode,encode,verb
linger,rush,verb
attach,detach,verb
minimize,maximize,verb
debit,credit,verb
ignore,know,verb
ignore,notice,verb
east,west,verb
recall,issue,verb
unlock,lock,verb
dry,wet,verb
malfunction,function,verb
negate,affirm,verb
repair,break,verb
sleep,wake,verb
keep,lose,verb
disembark,embark,verb
encourage,discourage,verb
defend,prosecute,verb
disable,enable,verb
run,idle,verb
relax,tense,verb
hit,miss,verb
sit,stand,verb
permit,forbid,verb
downgrade,upgrade,verb
applaud,boo,verb
discharge,enlist,verb
whisper,shout,verb
widen,narrow,verb
survive,succumb,verb
refrain,act,verb
legalize,outlaw,verb
spread,gather,verb
bounce,clear,verb
depart,stay,verb
progress,regress,verb
hire,fire,verb
enable,disable,verb
infect,disinfect,verb
reject,accept,verb
confront,avoid,verb
open,shut,verb
divide,multiply,verb
avoid,confront,verb
retreat,advance,verb
buy,sell,verb
cover,uncover,verb
net,gross,verb
expand,contract,verb
gross,net,verb
rush,delay,verb
disarm,arm,verb
divest,invest,verb
unveil,veil,verb
warm,cool,verb
stand,sit,verb
shut,open,verb
deposit,withdraw,verb
heat,cool,verb
deny,allow,verb
break,repair,verb
reduce,gain,verb
delay,rush,verb
respect,disrespect,verb
admit,reject,verb
disinfect,infect,verb
focus,blur,verb
idle,work,verb
disclaim,claim,verb
strengthen,weaken,verb
absent,present,verb
deny,admit,verb
lose,profit,verb
disapprove,approve,verb
function,malfunction,verb
bless,curse,verb
discourage,encourage,verb
push,pull,verb
start,finish,verb
complain,cheer,verb
withdraw,deposit,verb
break,keep,verb
hide,show,verb
surrender,resist,verb
abolish,establish,verb
love,hate,verb
thin,thick,verb
distrust,trust,verb
absorb,emit,verb
accept,reject,verb
weaken,strengthen,verb
trust,mistrust,verb
encode,decode,verb
prefix,suffix,verb
discharge,charge,verb
cool,warm,verb
remember,forget,verb
curse,bless,verb
fire,hire,verb
unfold,fold,verb
arrive,leave,verb
attend,miss,verb
complicate,simplify,verb
charge,discharge,verb
cheer,complain,verb
admit,deny,verb
tense,relax,verb
disrespect,respect,verb
forfeit,claim,verb
conserve,waste,verb
simplify,complicate,verb
reassure,worry,verb
sell,buy,verb
lower,raise,verb
cool,heat,verb
enlist,discharge,verb
appear,disappear,verb
front,rear,verb
idle,run,verb
top,bottom,verb
end,begin,verb
work,idle,verb
suffix,prefix,verb
level,raise,verb
float,sink,verb
exit,enter,verb
integrate,differentiate,verb
refuse,accept,verb
equal,differ,verb
prosecute,defend,verb
defend,attack,verb
rush,linger,verb
gain,loss,verb
disagree,agree,verb
rear,front,verb
regress,progress,verb
back,front,verb
win,lose,verb
skew,align,verb
allow,deny,verb
empty,fill,verb
approve,disapprove,verb
criticize,praise,verb
thick,thin,verb
miss,hit,verb
clean,dirty,verb
blur,focus,verb
stop,start,verb
stretch,shrink,verb
increase,decrease,verb
know,ignore,verb
finish,start,verb
issue,recall,verb
downstream,upstream,verb
act,refrain,verb
hate,love,verb
fill,empty,verb
back,advance,verb
head,tail,verb
differentiate,integrate,verb
trust,distrust,verb
dirty,clean,verb
multiply,divide,verb
starve,feed,verb
mind,forget,verb
outlaw,legalize,verb
waste,conserve,verb
emit,absorb,verb
unite,divide,verb
miss,attend,verb
divide,unite,verb
west,east,verb
advance,retreat,verb
narrow,widen,verb
let,prevent,verb
lose,keep,verb
yield,stand,verb
claim,disclaim,verb
contract,expand,verb
lock,unlock,verb
exclude,admit,verb
gain,reduce,verb
mistrust,trust,verb
differ,equal,verb
credit,debit,verb
borrow,lend,verb
fail,manage,verb
attack,defend,verb
show,hide,verb
stay,move,verb
order,disorder,verb
leave,arrive,verb
stay,change,verb
manage,fail,verb
forget,remember,verb
walk,ride,verb
import,export,verb
record,erase,verb
connect,disconnect,verb
uncover,cover,verb
establish,abolish,verb
gather,spread,verb
begin,end,verb
decrease,increase,verb
profit,lose,verb
take,give,verb
start,stop,verb
fail,succeed,verb
succumb,survive,verb
shrink,stretch,verb
raise,level,verb
embark,disembark,verb
advance,back,verb
shout,whisper,verb
boil,freeze,verb
export,import,verb
pass,fail,verb
notice,ignore,verb
upstream,downstream,verb
add,subtract,verb
arm,disarm,verb
cry,laugh,verb
prevent,let,verb
clear,bounce,verb
front,back,verb
raise,lower,verb
move,stay,verb
disappear,appear,verb
stay,depart,verb
deprive,enrich,verb
veil,unveil,verb
enter,exit,verb
maximize,minimize,verb
ascend,descend,verb
disconnect,connect,verb
lend,borrow,verb
dead,alive,verb
agree,disagree,verb
fall,rise,verb
forbid,permit,verb
